jahr;agglotyp;anz
1981;11;216346
1981;12;116405
1981;13;57678
1981;21;121745
1981;22;204780
1981;23;81052
1981;31;284153
1981;41;190669
1982;11;240654
1982;12;124983
1982;13;59635
1982;21;124833
1982;22;211632
1982;23;87048
1982;31;294191
1982;41;196187
1983;11;234772
1983;12;117553
1983;13;60900
1983;21;126337
1983;22;222941
1983;23;88577
1983;31;303649
1983;41;204545
1984;11;281772
1984;12;152960
1984;13;78639
1984;21;171899
1984;22;290829
1984;23;114914
1984;31;402372
1984;41;278895
1985;11;230298
1985;12;120956
1985;13;64118
1985;21;146459
1985;22;245295
1985;23;94420
1985;31;333615
1985;41;230430
1986;11;221510
1986;12;127098
1986;13;65090
1986;21;145112
1986;22;256247
1986;23;96229
1986;31;349701
1986;41;255554
1987;11;284592
1987;12;154702
1987;13;81843
1987;21;179585
1987;22;310710
1987;23;122406
1987;31;421413
1987;41;289961
1988;11;301879
1988;12;167390
1988;13;90655
1988;21;201642
1988;22;343311
1988;23;135087
1988;31;476040
1988;41;332655
1989;11;344203
1989;12;197948
1989;13;104552
1989;21;234393
1989;22;421325
1989;23;163369
1989;31;585225
1989;41;427193
1990;11;253006
1990;12;145463
1990;13;72446
1990;21;174280
1990;22;292298
1990;23;109514
1990;31;395757
1990;41;272791
1991;11;203492
1991;12;119040
1991;13;62547
1991;21;142259
1991;22;238024
1991;23;92172
1991;31;317629
1991;41;227060
1992;11;277911
1992;12;153469
1992;13;80812
1992;21;198166
1992;22;337398
1992;23;127930
1992;31;456375
1992;41;322361
1993;11;287372
1993;12;161551
1993;13;85100
1993;21;205464
1993;22;355004
1993;23;136502
1993;31;474929
1993;41;335189
1994;11;278985
1994;12;157526
1994;13;82539
1994;21;193736
1994;22;333032
1994;23;126774
1994;31;459812
1994;41;314892
1995;11;256765
1995;12;132225
1995;13;66736
1995;21;178440
1995;22;304558
1995;23;111148
1995;31;394598
1995;41;292499
1996;11;223741
1996;12;122147
1996;13;63854
1996;21;149606
1996;22;260495
1996;23;96438
1996;31;360677
1996;41;254875
1997;11;248633
1997;12;134405
1997;13;71997
1997;21;174533
1997;22;289938
1997;23;109019
1997;31;393932
1997;41;262022
1998;11;264502
1998;12;146265
1998;13;77686
1998;21;201920
1998;22;336740
1998;23;120916
1998;31;459649
1998;41;328313
1999;11;263892
1999;12;143357
1999;13;74537
1999;21;198098
1999;22;333936
1999;23;120616
1999;31;441446
1999;41;304177
2000;11;270583
2000;12;148059
2000;13;76616
2000;21;212362
2000;22;349673
2000;23;125783
2000;31;462317
2000;41;318953
2001;11;263027
2001;12;154372
2001;13;77017
2001;21;217712
2001;22;353541
2001;23;126495
2001;31;485214
2001;41;339464
2002;11;299066
2002;12;169383
2002;13;84175
2002;21;247571
2002;22;396060
2002;23;141133
2002;31;522439
2002;41;358883
2003;11;279950
2003;12;161623
2003;13;82396
2003;21;238794
2003;22;379468
2003;23;132647
2003;31;503966
2003;41;334938
2004;11;293682
2004;12;169561
2004;13;85603
2004;21;247952
2004;22;399232
2004;23;141612
2004;31;525407
2004;41;352391
2005;11;308514
2005;12;184257
2005;13;93479
2005;21;264840
2005;22;428151
2005;23;149032
2005;31;576335
2005;41;390252
2006;11;272039
2006;12;164355
2006;13;85213
2006;21;236833
2006;22;377321
2006;23;133410
2006;31;503143
2006;41;334578
2007;11;259334
2007;12;162868
2007;13;81556
2007;21;223362
2007;22;344912
2007;23;125321
2007;31;472214
2007;41;312495
2008;11;282218
2008;12;167606
2008;13;87771
2008;21;243851
2008;22;387459
2008;23;134070
2008;31;521402
2008;41;343202
2009;11;277727
2009;12;169083
2009;13;91484
2009;21;249070
2009;22;403691
2009;23;137586
2009;31;555227
2009;41;364708
2010;11;291990
2010;12;174056
2010;13;93716
2010;21;260474
2010;22;420563
2010;23;143194
2010;31;572924
2010;41;376667
2011;11;295719
2011;12;177638
2011;13;95152
2011;21;265849
2011;22;446056
2011;23;148734
2011;31;603484
2011;41;424756
2012;11;256235
2012;12;159867
2012;13;83034
2012;21;229816
2012;22;365895
2012;23;125537
2012;31;499605
2012;41;330330
2013;11;286129
2013;12;176729
2013;13;97141
2013;21;265503
2013;22;429520
2013;23;143071
2013;31;590631
2013;41;396418
2014;11;328924
2014;12;198532
2014;13;108657
2014;21;301617
2014;22;488156
2014;23;163612
2014;31;664624
2014;41;443060
