jahr;gnr;anz
1981;1;263
1981;2;1530
1981;3;599
1981;4;480
1981;5;449
1981;6;189
1981;7;327
1981;8;152
1981;9;599
1981;10;589
1981;11;301
1981;12;232
1981;13;343
1981;14;871
1981;21;165
1981;22;252
1981;23;167
1981;24;156
1981;25;448
1981;26;122
1981;27;675
1981;28;340
1981;29;401
1981;30;436
1981;31;365
1981;32;99
1981;33;385
1981;34;375
1981;35;372
1981;36;312
1981;37;372
1981;38;352
1981;39;206
1981;40;346
1981;41;150
1981;42;265
1981;43;74
1981;44;190
1981;51;427
1981;52;1111
1981;53;3134
1981;54;1039
1981;55;704
1981;56;975
1981;57;419
1981;58;541
1981;59;189
1981;60;278
1981;61;185
1981;62;3175
1981;63;231
1981;64;732
1981;65;265
1981;66;2095
1981;67;594
1981;68;249
1981;69;3494
1981;70;102
1981;71;325
1981;72;475
1981;81;169
1981;82;171
1981;83;354
1981;84;346
1981;85;185
1981;86;737
1981;87;85
1981;88;336
1981;89;562
1981;90;918
1981;91;426
1981;92;680
1981;93;211
1981;94;330
1981;95;205
1981;96;1940
1981;97;931
1981;98;165
1981;99;233
1981;100;426
1981;101;642
1981;102;179
1981;111;689
1981;112;847
1981;113;1056
1981;114;396
1981;115;1382
1981;116;479
1981;117;1714
1981;118;2051
1981;119;369
1981;120;1474
1981;121;3175
1981;131;3312
1981;132;329
1981;133;3566
1981;134;150
1981;135;2084
1981;136;1720
1981;137;1140
1981;138;2038
1981;139;1592
1981;140;340
1981;141;3701
1981;142;3866
1981;151;1373
1981;152;1321
1981;153;1604
1981;154;4563
1981;155;2299
1981;156;3326
1981;157;524
1981;158;2835
1981;159;1068
1981;160;1448
1981;161;3849
1981;172;624
1981;173;336
1981;174;2916
1981;175;128
1981;176;747
1981;177;2011
1981;178;663
1981;180;509
1981;181;415
1981;182;253
1981;191;4271
1981;192;1208
1981;193;1197
1981;194;1105
1981;195;2005
1981;196;784
1981;197;721
1981;198;6195
1981;199;1654
1981;200;644
1981;211;159
1981;213;388
1981;214;226
1981;215;138
1981;216;374
1981;217;773
1981;218;191
1981;219;694
1981;220;216
1981;221;474
1981;222;150
1981;223;660
1981;224;424
1981;225;565
1981;226;190
1981;227;1218
1981;228;884
1981;230;24063
1981;231;905
1981;241;321
1981;242;1391
1981;243;3894
1981;244;695
1981;245;1213
1981;246;325
1981;247;2597
1981;248;900
1981;249;529
1981;250;1498
1981;251;576
1981;261;84576
1981;297;844
1981;298;1396
1981;301;637
1981;302;140
1981;303;385
1981;304;222
1981;305;166
1981;306;1610
1981;307;475
1981;309;188
1981;310;505
1981;311;424
1981;312;350
1981;321;716
1981;322;71
1981;323;151
1981;324;113
1981;325;58
1981;326;130
1981;329;3287
1981;331;507
1981;332;655
1981;333;316
1981;334;97
1981;335;45
1981;336;41
1981;337;736
1981;338;368
1981;339;78
1981;340;112
1981;341;116
1981;342;699
1981;344;139
1981;345;515
1981;351;29375
1981;352;1023
1981;353;954
1981;354;584
1981;355;8287
1981;356;3042
1981;357;145
1981;358;526
1981;359;718
1981;360;1797
1981;361;1693
1981;362;1615
1981;363;2745
1981;371;9899
1981;372;529
1981;381;208
1981;382;118
1981;383;468
1981;385;142
1981;386;155
1981;387;744
1981;388;147
1981;389;10
1981;390;176
1981;391;91
1981;392;396
1981;393;111
1981;394;74
1981;401;162
1981;402;86
1981;403;152
1981;404;3511
1981;405;394
1981;406;411
1981;407;253
1981;408;24
1981;409;345
1981;410;41
1981;411;49
1981;412;847
1981;413;361
1981;414;365
1981;415;210
1981;416;40
1981;417;58
1981;418;581
1981;419;26
1981;420;275
1981;421;42
1981;422;40
1981;423;63
1981;424;325
1981;431;248
1981;432;93
1981;433;130
1981;434;190
1981;435;62
1981;437;36
1981;438;139
1981;441;105
1981;442;29
1981;443;982
1981;444;292
1981;445;155
1981;446;1165
1981;448;234
1981;449;128
1981;450;236
1981;491;64
1981;492;224
1981;493;49
1981;494;100
1981;495;120
1981;496;480
1981;497;65
1981;498;176
1981;499;78
1981;500;55
1981;501;53
1981;502;77
1981;532;41
1981;533;351
1981;535;29
1981;536;37
1981;538;807
1981;540;792
1981;541;69
1981;543;133
1981;544;437
1981;546;1688
1981;551;540
1981;552;720
1981;553;28
1981;554;170
1981;556;92
1981;557;109
1981;561;748
1981;562;206
1981;563;971
1981;564;62
1981;565;131
1981;566;104
1981;567;328
1981;571;168
1981;572;326
1981;573;344
1981;574;62
1981;575;46
1981;576;573
1981;577;56
1981;578;51
1981;579;40
1981;580;66
1981;581;1086
1981;582;57
1981;584;451
1981;585;116
1981;586;31
1981;587;657
1981;588;39
1981;589;52
1981;590;289
1981;591;11
1981;592;50
1981;593;868
1981;594;260
1981;602;131
1981;603;256
1981;605;131
1981;606;66
1981;607;59
1981;608;653
1981;609;42
1981;610;89
1981;611;134
1981;612;1168
1981;613;83
1981;614;123
1981;615;49
1981;616;2383
1981;617;77
1981;619;626
1981;620;101
1981;622;90
1981;623;353
1981;624;105
1981;625;57
1981;626;256
1981;627;1920
1981;628;181
1981;629;36
1981;630;63
1981;632;493
1981;661;9
1981;662;191
1981;663;170
1981;664;54
1981;665;55
1981;666;78
1981;667;454
1981;668;492
1981;669;59
1981;670;773
1981;671;39
1981;681;55
1981;683;31
1981;687;32
1981;690;425
1981;691;220
1981;692;41
1981;694;115
1981;696;42
1981;700;1554
1981;701;77
1981;703;388
1981;704;68
1981;706;108
1981;707;37
1981;708;6
1981;709;9
1981;711;98
1981;713;763
1981;715;14
1981;716;79
1981;717;792
1981;723;622
1981;724;84
1981;726;241
1981;731;282
1981;732;182
1981;733;622
1981;734;48
1981;735;43
1981;736;64
1981;737;40
1981;738;115
1981;739;487
1981;740;100
1981;741;69
1981;742;172
1981;743;1696
1981;744;370
1981;745;617
1981;746;289
1981;747;72
1981;748;124
1981;749;336
1981;750;156
1981;751;342
1981;754;88
1981;755;200
1981;756;301
1981;761;94
1981;762;213
1981;763;205
1981;766;103
1981;767;171
1981;768;2584
1981;769;305
1981;770;125
1981;782;82
1981;783;142
1981;784;165
1981;785;750
1981;786;73
1981;791;143
1981;792;199
1981;793;146
1981;794;614
1981;841;105
1981;842;72
1981;843;696
1981;852;174
1981;853;172
1981;855;778
1981;861;1260
1981;863;120
1981;865;42
1981;866;147
1981;867;106
1981;868;34
1981;869;131
1981;870;602
1981;872;154
1981;873;65
1981;874;45
1981;875;45
1981;876;208
1981;877;76
1981;878;37
1981;879;376
1981;880;204
1981;881;58
1981;883;298
1981;884;326
1981;885;223
1981;886;316
1981;888;195
1981;901;237
1981;902;1480
1981;903;322
1981;904;116
