jahr;kt;anz
1981;"AG";80181
1981;"AI";2506
1981;"AR";11252
1981;"BE";172524
1981;"BL";43850
1981;"BS";40074
1981;"FR";29091
1981;"GE";59234
1981;"GL";7740
1981;"GR";29500
1981;"JU";10356
1981;"LU";68833
1981;"NE";27801
1981;"NW";6762
1981;"OW";5222
1981;"SG";71398
1981;"SH";27676
1981;"SO";75046
1981;"SZ";19879
1981;"TG";39847
1981;"TI";41778
1981;"UR";8288
1981;"VD";73863
1981;"VS";31527
1981;"ZG";20164
1981;"ZH";268434
1982;"AG";82695
1982;"AI";2294
1982;"AR";11298
1982;"BE";213959
1982;"BL";46317
1982;"BS";44732
1982;"FR";27783
1982;"GE";46757
1982;"GL";9993
1982;"GR";30224
1982;"JU";9028
1982;"LU";62091
1982;"NE";30032
1982;"NW";6296
1982;"OW";5765
1982;"SG";74418
1982;"SH";28268
1982;"SO";54449
1982;"SZ";19173
1982;"TG";43294
1982;"TI";48568
1982;"UR";8270
1982;"VD";98766
1982;"VS";28836
1982;"ZG";18115
1982;"ZH";287741
1983;"AG";88550
1983;"AI";2855
1983;"AR";11329
1983;"BE";209134
1983;"BL";46368
1983;"BS";44524
1983;"FR";32417
1983;"GE";50430
1983;"GL";7532
1983;"GR";32370
1983;"JU";10015
1983;"LU";67813
1983;"NE";27771
1983;"NW";6990
1983;"OW";5460
1983;"SG";74362
1983;"SH";28699
1983;"SO";57917
1983;"SZ";21188
1983;"TG";44266
1983;"TI";46699
1983;"UR";7840
1983;"VD";74713
1983;"VS";44342
1983;"ZG";19629
1983;"ZH";296062
1984;"AG";119848
1984;"AI";3700
1984;"AR";15214
1984;"BE";262817
1984;"BL";71161
1984;"BS";61338
1984;"FR";46068
1984;"GE";68866
1984;"GL";10037
1984;"GR";42062
1984;"JU";14971
1984;"LU";87955
1984;"NE";41104
1984;"NW";9451
1984;"OW";7436
1984;"SG";103825
1984;"SH";31474
1984;"SO";69303
1984;"SZ";27308
1984;"TG";50703
1984;"TI";62057
1984;"UR";9785
1984;"VD";118726
1984;"VS";71680
1984;"ZG";25728
1984;"ZH";339663
1985;"AG";104649
1985;"AI";2965
1985;"AR";12702
1985;"BE";204614
1985;"BL";56495
1985;"BS";49008
1985;"FR";36567
1985;"GE";53391
1985;"GL";8052
1985;"GR";33529
1985;"JU";12061
1985;"LU";74504
1985;"NE";28151
1985;"NW";7623
1985;"OW";6216
1985;"SG";84522
1985;"SH";27720
1985;"SO";73720
1985;"SZ";22473
1985;"TG";44882
1985;"TI";47308
1985;"UR";8357
1985;"VD";81720
1985;"VS";51151
1985;"ZG";21793
1985;"ZH";311418
1986;"AG";104997
1986;"AI";3477
1986;"AR";14008
1986;"BE";228680
1986;"BL";62729
1986;"BS";48278
1986;"FR";49262
1986;"GE";50330
1986;"GL";8646
1986;"GR";33365
1986;"JU";14999
1986;"LU";82072
1986;"NE";29462
1986;"NW";8256
1986;"OW";6489
1986;"SG";93058
1986;"SH";29502
1986;"SO";66707
1986;"SZ";24877
1986;"TG";51610
1986;"TI";44287
1986;"UR";9065
1986;"VD";91765
1986;"VS";43511
1986;"ZG";23126
1986;"ZH";293983
1987;"AG";122693
1987;"AI";3842
1987;"AR";14970
1987;"BE";274217
1987;"BL";72111
1987;"BS";62782
1987;"FR";50504
1987;"GE";73646
1987;"GL";9306
1987;"GR";39885
1987;"JU";19193
1987;"LU";95480
1987;"NE";38737
1987;"NW";10242
1987;"OW";6977
1987;"SG";104344
1987;"SH";30590
1987;"SO";78988
1987;"SZ";29113
1987;"TG";55047
1987;"TI";89268
1987;"UR";10385
1987;"VD";119099
1987;"VS";53259
1987;"ZG";26605
1987;"ZH";353929
1988;"AG";129821
1988;"AI";4423
1988;"AR";17113
1988;"BE";291110
1988;"BL";84615
1988;"BS";63344
1988;"FR";59897
1988;"GE";84833
1988;"GL";11031
1988;"GR";48225
1988;"JU";20586
1988;"LU";103116
1988;"NE";44320
1988;"NW";10821
1988;"OW";8618
1988;"SG";121095
1988;"SH";31705
1988;"SO";84008
1988;"SZ";32211
1988;"TG";62517
1988;"TI";77108
1988;"UR";9887
1988;"VD";139276
1988;"VS";94317
1988;"ZG";32778
1988;"ZH";381884
1989;"AG";172368
1989;"AI";5439
1989;"AR";20299
1989;"BE";377461
1989;"BL";95307
1989;"BS";71908
1989;"FR";76119
1989;"GE";95023
1989;"GL";13334
1989;"GR";62169
1989;"JU";23587
1989;"LU";132927
1989;"NE";51099
1989;"NW";13932
1989;"OW";11298
1989;"SG";157172
1989;"SH";35014
1989;"SO";107982
1989;"SZ";40499
1989;"TG";77547
1989;"TI";91842
1989;"UR";12966
1989;"VD";165636
1989;"VS";82988
1989;"ZG";36812
1989;"ZH";447480
1990;"AG";116129
1990;"AI";3622
1990;"AR";15233
1990;"BE";242554
1990;"BL";71923
1990;"BS";55568
1990;"FR";51587
1990;"GE";57073
1990;"GL";9085
1990;"GR";41395
1990;"JU";13713
1990;"LU";88844
1990;"NE";38895
1990;"NW";11788
1990;"OW";8739
1990;"SG";103576
1990;"SH";30595
1990;"SO";84553
1990;"SZ";27337
1990;"TG";54326
1990;"TI";54487
1990;"UR";9134
1990;"VD";106090
1990;"VS";48122
1990;"ZG";29966
1990;"ZH";341222
1991;"AG";85830
1991;"AI";2937
1991;"AR";13385
1991;"BE";175799
1991;"BL";61707
1991;"BS";45994
1991;"FR";52930
1991;"GE";58173
1991;"GL";6950
1991;"GR";29208
1991;"JU";12178
1991;"LU";85721
1991;"NE";27539
1991;"NW";7215
1991;"OW";5918
1991;"SG";90883
1991;"SH";28579
1991;"SO";66277
1991;"SZ";21246
1991;"TG";50147
1991;"TI";47621
1991;"UR";7641
1991;"VD";86225
1991;"VS";41573
1991;"ZG";20603
1991;"ZH";269946
1992;"AG";132070
1992;"AI";4107
1992;"AR";18347
1992;"BE";298217
1992;"BL";80227
1992;"BS";58779
1992;"FR";51733
1992;"GE";73724
1992;"GL";10559
1992;"GR";47849
1992;"JU";19294
1992;"LU";100174
1992;"NE";37001
1992;"NW";11165
1992;"OW";8777
1992;"SG";124579
1992;"SH";31061
1992;"SO";83347
1992;"SZ";33833
1992;"TG";58666
1992;"TI";74309
1992;"UR";10924
1992;"VD";124463
1992;"VS";64242
1992;"ZG";29806
1992;"ZH";367170
1993;"AG";147485
1993;"AI";4043
1993;"AR";18493
1993;"BE";318086
1993;"BL";87188
1993;"BS";63809
1993;"FR";60900
1993;"GE";79641
1993;"GL";9735
1993;"GR";42918
1993;"JU";19069
1993;"LU";97935
1993;"NE";41301
1993;"NW";11336
1993;"OW";8220
1993;"SG";127123
1993;"SH";31670
1993;"SO";85458
1993;"SZ";30399
1993;"TG";61166
1993;"TI";74133
1993;"UR";9604
1993;"VD";140480
1993;"VS";73364
1993;"ZG";29328
1993;"ZH";368226
1994;"AG";140575
1994;"AI";3958
1994;"AR";18194
1994;"BE";293937
1994;"BL";78017
1994;"BS";62650
1994;"FR";53074
1994;"GE";74408
1994;"GL";10224
1994;"GR";44164
1994;"JU";14707
1994;"LU";102112
1994;"NE";36109
1994;"NW";11534
1994;"OW";8595
1994;"SG";125453
1994;"SH";31082
1994;"SO";80609
1994;"SZ";33353
1994;"TG";62575
1994;"TI";74575
1994;"UR";12094
1994;"VD";118965
1994;"VS";70753
1994;"ZG";29021
1994;"ZH";356556
1995;"AG";115723
1995;"AI";3698
1995;"AR";16176
1995;"BE";258357
1995;"BL";66619
1995;"BS";56142
1995;"FR";51870
1995;"GE";63018
1995;"GL";8985
1995;"GR";37990
1995;"JU";17174
1995;"LU";95128
1995;"NE";33779
1995;"NW";12489
1995;"OW";7541
1995;"SG";108847
1995;"SH";28681
1995;"SO";68952
1995;"SZ";26787
1995;"TG";59439
1995;"TI";54275
1995;"UR";8737
1995;"VD";113137
1995;"VS";47592
1995;"ZG";25427
1995;"ZH";350406
1996;"AG";111102
1996;"AI";2688
1996;"AR";13308
1996;"BE";223218
1996;"BL";55043
1996;"BS";55074
1996;"FR";62902
1996;"GE";69230
1996;"GL";8741
1996;"GR";35253
1996;"JU";17300
1996;"LU";83823
1996;"NE";28308
1996;"NW";10378
1996;"OW";6546
