jahr;agglotyp;anz
1981;11;681703
1981;12;352897
1981;13;178403
1981;21;330556
1981;22;611439
1981;23;278174
1981;31;885141
1981;41;645486
1982;11;676676
1982;12;353893
1982;13;180499
1982;21;338119
1982;22;624473
1982;23;282600
1982;31;898970
1982;41;654872
1983;11;673789
1983;12;355008
1983;13;182519
1983;21;345236
1983;22;635555
1983;23;285755
1983;31;911863
1983;41;663308
1984;11;672551
1984;12;356647
1984;13;184588
1984;21;353013
1984;22;648445
1984;23;289809
1984;31;926917
1984;41;672916
1985;11;670395
1985;12;357840
1985;13;185882
1985;21;359136
1985;22;660493
1985;23;293538
1985;31;939486
1985;41;679802
1986;11;666673
1986;12;358503
1986;13;187272
1986;21;367902
1986;22;675529
1986;23;297862
1986;31;958149
1986;41;690024
1987;11;663793
1987;12;358873
1987;13;188218
1987;21;373503
1987;22;684780
1987;23;299389
1987;31;970196
1987;41;696179
1988;11;656468
1988;12;359145
1988;13;188947
1988;21;381463
1988;22;697214
1988;23;301984
1988;31;987700
1988;41;705112
1989;11;651539
1989;12;359605
1989;13;189938
1989;21;387156
1989;22;706230
1989;23;303917
1989;31;1002300
1989;41;713794
1990;11;647408
1990;12;359998
1990;13;190411
1990;21;390018
1990;22;711283
1990;23;304437
1990;31;1010820
1990;41;719699
1991;11;648442
1991;12;364503
1991;13;193772
1991;21;400178
1991;22;728946
1991;23;309570
1991;31;1038430
1991;41;740647
1992;11;648718
1992;12;362603
1992;13;197235
1992;21;411597
1992;22;748795
1992;23;314696
1992;31;1075599
1992;41;764261
1993;11;646279
1993;12;368593
1993;13;198276
1993;21;417165
1993;22;755637
1993;23;314207
1993;31;1079697
1993;41;773954
1994;11;641631
1994;12;367670
1994;13;198084
1994;21;420632
1994;22;759652
1994;23;313854
1994;31;1085409
1994;41;776727
1995;11;638144
1995;12;366631
1995;13;197849
1995;21;423727
1995;22;764620
1995;23;312973
1995;31;1090584
1995;41;781014
1996;11;631302
1996;12;364976
1996;13;197809
1996;21;428832
1996;22;771874
1996;23;311064
1996;31;1098651
1996;41;784881
1997;11;623969
1997;12;363562
1997;13;196505
1997;21;435017
1997;22;779164
1997;23;309607
1997;31;1108115
1997;41;787969
1998;11;617600
1998;12;362668
1998;13;196162
1998;21;441887
1998;22;785542
1998;23;308981
1998;31;1117374
1998;41;792039
1999;11;615117
1999;12;361989
1999;13;196308
1999;21;445362
1999;22;788829
1999;23;309081
1999;31;1121308
1999;41;793165
2000;11;610954
2000;12;361696
2000;13;196845
2000;21;451868
2000;22;798602
2000;23;309588
2000;31;1131407
2000;41;797230
2001;11;611511
2001;12;362105
2001;13;197644
2001;21;457097
2001;22;806812
2001;23;311459
2001;31;1140577
2001;41;800182
2002;11;609274
2002;12;364539
2002;13;198870
2002;21;462482
2002;22;815109
2002;23;313088
2002;31;1151149
2002;41;804737
2003;11;607520
2003;12;365268
2003;13;199617
2003;21;466252
2003;22;821129
2003;23;314414
2003;31;1158986
2003;41;808988
2004;11;603441
2004;12;366935
2004;13;200203
2004;21;471987
2004;22;831088
2004;23;315793
2004;31;1172345
2004;41;816345
2005;11;604146
2005;12;368975
2005;13;202085
2005;21;476181
2005;22;841039
2005;23;317734
2005;31;1184712
2005;41;823308
2006;11;606333
2006;12;371197
2006;13;203813
2006;21;479833
2006;22;851498
2006;23;319500
2006;31;1197938
2006;41;830303
2007;11;608868
2007;12;372476
2007;13;204918
2007;21;482700
2007;22;857660
2007;23;321030
2007;31;1205173
2007;41;834273
2008;11;611137
2008;12;375632
2008;13;207747
2008;21;488375
2008;22;869355
2008;23;324868
2008;31;1222215
2008;41;842552
2009;11;612407
2009;12;378778
2009;13;210080
2009;21;492449
2009;22;879044
2009;23;327976
2009;31;1236123
2009;41;849531
2010;11;614306
2010;12;379982
2010;13;210463
2010;21;496007
2010;22;886124
2010;23;330364
2010;31;1242912
2010;41;853717
2011;11;614727
2011;12;381478
2011;13;211437
2011;21;498029
2011;22;890524
2011;23;331751
2011;31;1249540
2011;41;856894
2012;11;599076
2012;12;383500
2012;13;214082
2012;21;498784
2012;22;900264
2012;23;334683
2012;31;1263221
2012;41;864586
2013;11;621928
2013;12;385539
2013;13;216840
2013;21;504466
2013;22;907747
2013;23;336731
2013;31;1276154
2013;41;869190
2014;11;627016
2014;12;387292
2014;13;217863
2014;21;506989
2014;22;914209
2014;23;338621
2014;31;1286593
2014;41;875936
