jahr;gnr;anz
1981;1;588
1981;2;4567
1981;3;1448
1981;4;1347
1981;5;1241
1981;6;374
1981;7;592
1981;8;287
1981;9;1423
1981;10;1953
1981;11;910
1981;12;381
1981;13;930
1981;14;2043
1981;21;285
1981;22;361
1981;23;265
1981;24;314
1981;25;765
1981;26;213
1981;27;1826
1981;28;589
1981;29;628
1981;30;982
1981;31;640
1981;32;193
1981;33;856
1981;34;810
1981;35;910
1981;36;553
1981;37;630
1981;38;786
1981;39;337
1981;40;602
1981;41;230
1981;42;474
1981;43;132
1981;44;297
1981;51;1405
1981;52;3248
1981;53;7090
1981;54;3048
1981;55;1554
1981;56;3327
1981;57;889
1981;58;1518
1981;59;535
1981;60;899
1981;61;442
1981;62;9057
1981;63;461
1981;64;2036
1981;65;484
1981;66;6677
1981;67;1406
1981;68;766
1981;69;7141
1981;70;219
1981;71;625
1981;72;1233
1981;81;296
1981;82;452
1981;83;1131
1981;84;1414
1981;85;559
1981;86;2106
1981;87;224
1981;88;786
1981;89;1785
1981;90;2976
1981;91;766
1981;92;2293
1981;93;433
1981;94;807
1981;95;379
1981;96;6812
1981;97;3105
1981;98;298
1981;99;424
1981;100;861
1981;101;1353
1981;102;443
1981;111;1980
1981;112;2186
1981;113;3091
1981;114;965
1981;115;3878
1981;116;1323
1981;117;4756
1981;118;5605
1981;119;611
1981;120;4275
1981;121;9009
1981;131;10168
1981;132;930
1981;133;10111
1981;134;423
1981;135;4909
1981;136;4116
1981;137;2705
1981;138;5259
1981;139;3302
1981;140;935
1981;141;10017
1981;142;11034
1981;151;2868
1981;152;2863
1981;153;3657
1981;154;8728
1981;155;4743
1981;156;6866
1981;157;1595
1981;158;6614
1981;159;2168
1981;160;2871
1981;161;8451
1981;172;1492
1981;173;913
1981;174;8413
1981;175;216
1981;176;1770
1981;177;4887
1981;178;1707
1981;180;1215
1981;181;840
1981;182;437
1981;191;12171
1981;192;3535
1981;193;3542
1981;194;2987
1981;195;3999
1981;196;1743
1981;197;1660
1981;198;13313
1981;199;5486
1981;200;1936
1981;211;318
1981;213;766
1981;214;354
1981;215;298
1981;216;626
1981;217;1864
1981;218;340
1981;219;1658
1981;220;401
1981;221;989
1981;222;250
1981;223;1710
1981;224;1156
1981;225;1009
1981;226;337
1981;227;2909
1981;228;1683
1981;230;53627
1981;231;2367
1981;241;507
1981;242;2823
1981;243;12021
1981;244;2449
1981;245;4201
1981;246;952
1981;247;7508
1981;248;1996
1981;249;1523
1981;250;5128
1981;251;1787
1981;261;245504
1981;297;2091
1981;298;2454
1981;301;2019
1981;302;531
1981;303;1574
1981;304;986
1981;305;615
1981;306;6212
1981;307;1232
1981;309;708
1981;310;1323
1981;311;1582
1981;312;1532
1981;321;2164
1981;322;299
1981;323;417
1981;324;445
1981;325;141
1981;326;546
1981;329;8792
1981;331;1440
1981;332;1967
1981;333;991
1981;334;302
1981;335;199
1981;336;123
1981;337;2159
1981;338;990
1981;339;294
1981;340;351
1981;341;309
1981;342;1721
1981;344;628
1981;345;1089
1981;351;99524
1981;352;3881
1981;353;2308
1981;354;1561
1981;355;23286
1981;356;8624
1981;357;562
1981;358;1494
1981;359;2498
1981;360;5025
1981;361;5405
1981;362;6128
1981;363;10417
1981;371;34758
1981;372;1564
1981;381;824
1981;382;405
1981;383;1845
1981;385;498
1981;386;695
1981;387;2938
1981;388;774
1981;389;37
1981;390;686
1981;391;427
1981;392;1992
1981;393;613
1981;394;327
1981;401;604
1981;402;383
1981;403;484
1981;404;10012
1981;405;950
1981;406;1865
1981;407;1159
1981;408;90
1981;409;1150
1981;410;154
1981;411;217
1981;412;2632
1981;413;1066
1981;414;1189
1981;415;782
1981;416;107
1981;417;161
1981;418;1857
1981;419;72
1981;420;1301
1981;421;69
1981;422;107
1981;423;126
1981;424;1237
1981;431;942
1981;432;365
1981;433;430
1981;434;756
1981;435;280
1981;437;100
1981;438;738
1981;441;563
1981;442;102
1981;443;3453
1981;444;865
1981;445;769
1981;446;3241
1981;448;631
1981;449;490
1981;450;1263
1981;491;372
1981;492;606
1981;493;262
1981;494;374
1981;495;481
1981;496;1624
1981;497;238
1981;498;611
1981;499;373
1981;500;249
1981;501;233
1981;502;379
1981;532;103
1981;533;1458
1981;535;66
1981;536;88
1981;538;2268
1981;540;2723
1981;541;201
1981;543;348
1981;544;1949
1981;546;5111
1981;551;2499
1981;552;2251
1981;553;64
1981;554;515
1981;556;177
1981;557;303
1981;561;2128
1981;562;947
1981;563;3651
1981;564;483
1981;565;645
1981;566;513
1981;567;2005
1981;571;764
1981;572;1312
1981;573;1883
1981;574;360
1981;575;225
1981;576;2427
1981;577;251
1981;578;200
1981;579;388
