jahr;kt;anz
1981;"AG";276837
1981;"AI";8400
1981;"AR";30641
1981;"BE";602308
1981;"BL";146830
1981;"BS";138921
1981;"FR";117853
1981;"GE";184212
1981;"GL";22807
1981;"GR";103133
1981;"JU";41377
1981;"LU";187247
1981;"NE";97683
1981;"NW";19321
1981;"OW";16482
1981;"SG";236798
1981;"SH";43577
1981;"SO";140685
1981;"SZ";60348
1981;"TG";108588
1981;"TI";154116
1981;"UR";21826
1981;"VD";314701
1981;"VS";139142
1981;"ZG";45559
1981;"ZH";704408
1982;"AG";281587
1982;"AI";8551
1982;"AR";31016
1982;"BE";609379
1982;"BL";149403
1982;"BS";138077
1982;"FR";119873
1982;"GE";185394
1982;"GL";22899
1982;"GR";104662
1982;"JU";41775
1982;"LU";190443
1982;"NE";97551
1982;"NW";19821
1982;"OW";16966
1982;"SG";240424
1982;"SH";44029
1982;"SO";142367
1982;"SZ";61485
1982;"TG";110586
1982;"TI";156550
1982;"UR";22134
1982;"VD";316723
1982;"VS";141648
1982;"ZG";46609
1982;"ZH";710154
1983;"AG";285770
1983;"AI";8652
1983;"AR";31344
1983;"BE";615171
1983;"BL";151638
1983;"BS";137493
1983;"FR";121849
1983;"GE";186438
1983;"GL";22961
1983;"GR";106667
1983;"JU";42233
1983;"LU";192919
1983;"NE";97481
1983;"NW";20229
1983;"OW";17244
1983;"SG";243439
1983;"SH";44412
1983;"SO";143645
1983;"SZ";62691
1983;"TG";112496
1983;"TI";158295
1983;"UR";22404
1983;"VD";319943
1983;"VS";144411
1983;"ZG";47466
1983;"ZH";715746
1984;"AG";290998
1984;"AI";8786
1984;"AR";31680
1984;"BE";621936
1984;"BL";154458
1984;"BS";136809
1984;"FR";124083
1984;"GE";188889
1984;"GL";23205
1984;"GR";108074
1984;"JU";42521
1984;"LU";196200
1984;"NE";97832
1984;"NW";20758
1984;"OW";17613
1984;"SG";247159
1984;"SH";44925
1984;"SO";145401
1984;"SZ";64058
1984;"TG";114502
1984;"TI";160768
1984;"UR";22696
1984;"VD";323407
1984;"VS";147598
1984;"ZG";48683
1984;"ZH";721844
1985;"AG";295293
