jahr;sprachreg;anz
1981;"D";2927994
1981;"F";857389
1981;"I";162717
1981;"R";15699
1982;"D";2965010
1982;"F";863904
1982;"I";165231
1982;"R";15956
1983;"D";2997995
1983;"F";871782
1983;"I";167131
1983;"R";16125
1984;"D";3036942
1984;"F";881958
1984;"I";169712
1984;"R";16274
1985;"D";3068411
1985;"F";890030
1985;"I";171753
1985;"R";16377
1986;"D";3110262
1986;"F";900295
1986;"I";174802
1986;"R";16555
1987;"D";3133976
1987;"F";907105
1987;"I";177284
1987;"R";16566
1988;"D";3166680
1988;"F";915275
1988;"I";179438
1988;"R";16639
1989;"D";3193619
1989;"F";922215
1989;"I";181822
1989;"R";16824
1990;"D";3207252
1990;"F";926506
1990;"I";183414
1990;"R";16902
1991;"D";3273102
1991;"F";945668
1991;"I";188398
1991;"R";17319
1992;"D";3341807
1992;"F";969522
1992;"I";194289
1992;"R";17887
1993;"D";3363360
1993;"F";976037
1993;"I";196294
1993;"R";18116
1994;"D";3369560
1994;"F";978570
1994;"I";197241
1994;"R";18286
1995;"D";3376729
1995;"F";982556
1995;"I";197871
1995;"R";18386
1996;"D";3385188
1996;"F";986322
1996;"I";199464
1996;"R";18415
1997;"D";3395914
1997;"F";989779
1997;"I";199822
1997;"R";18392
1998;"D";3408373
1998;"F";994451
1998;"I";201065
1998;"R";18363
1999;"D";3413771
1999;"F";996758
1999;"I";202312
1999;"R";18319
2000;"D";3433198
2000;"F";1002046
2000;"I";204589
2000;"R";18356
2001;"D";3453855
2001;"F";1009013
2001;"I";206213
2001;"R";18307
2002;"D";3482541
2002;"F";1010397
2002;"I";207957
2002;"R";18351
2003;"D";3500299
2003;"F";1014797
2003;"I";208680
2003;"R";18398
2004;"D";3525485
2004;"F";1023788
2004;"I";210441
2004;"R";18424
2005;"D";3555204
2005;"F";1032332
2005;"I";212262
2005;"R";18382
2006;"D";3585562
2006;"F";1042861
2006;"I";213536
2006;"R";18457
2007;"D";3604216
2007;"F";1049765
2007;"I";214647
2007;"R";18468
2008;"D";3642030
2008;"F";1064225
2008;"I";217192
2008;"R";18436
2009;"D";3674272
2009;"F";1074391
2009;"I";219360
2009;"R";18365
2010;"D";3688920
2010;"F";1085781
2010;"I";220802
2010;"R";18372
2011;"D";3703275
2011;"F";1091196
2011;"I";221452
2011;"R";18457
2012;"D";3714277
2012;"F";1100405
2012;"I";224266
2012;"R";19248
2013;"D";3765695
2013;"F";1108896
2013;"I";225701
2013;"R";18303
2014;"D";3790479
2014;"F";1118408
2014;"I";227393
2014;"R";18240
