gnr;gemeinde;sprachreg;kt;agglotyp;agglotyp_id
1;Aeugst am Albis;D;ZH;statushohe Gemeinde;21
2;Affoltern am Albis;D;ZH;statustiefe Gemeinde;23
3;Bonstetten;D;ZH;statushohe Gemeinde;21
4;Hausen am Albis;D;ZH;statusmittlere Gemeinde;22
5;Hedingen;D;ZH;statushohe Gemeinde;21
6;Kappel am Albis;D;ZH;Kleinagglomerationsgemeinde;31
7;Knonau;D;ZH;statushohe Gemeinde;21
8;Maschwanden;D;ZH;statusmittlere Gemeinde;22
9;Mettmenstetten;D;ZH;statusmittlere Gemeinde;22
10;Obfelden;D;ZH;statusmittlere Gemeinde;22
11;Ottenbach;D;ZH;statusmittlere Gemeinde;22
12;Rifferswil;D;ZH;statushohe Gemeinde;21
13;Stallikon;D;ZH;statushohe Gemeinde;21
14;Wettswil am Albis;D;ZH;statushohe Gemeinde;21
21;Adlikon;D;ZH;Kleinagglomerationsgemeinde;31
22;Benken (ZH);D;ZH;Kleinagglomerationsgemeinde;31
23;Berg am Irchel;D;ZH;statusmittlere Gemeinde;22
24;Buch am Irchel;D;ZH;Kleinagglomerationsgemeinde;31
25;Dachsen;D;ZH;Kleinagglomerationsgemeinde;31
26;Dorf;D;ZH;Kleinagglomerationsgemeinde;31
27;Feuerthalen;D;ZH;Kleinagglomerationsgemeinde;31
28;Flaach;D;ZH;Kleinagglomerationsgemeinde;31
29;Flurlingen;D;ZH;Kleinagglomerationsgemeinde;31
30;Andelfingen;D;ZH;Kleinagglomerationsgemeinde;31
31;Henggart;D;ZH;Kleinagglomerationsgemeinde;31
32;Humlikon;D;ZH;Kleinagglomerationsgemeinde;31
33;Kleinandelfingen;D;ZH;Kleinagglomerationsgemeinde;31
34;Laufen-Uhwiesen;D;ZH;Kleinagglomerationsgemeinde;31
35;Marthalen;D;ZH;Kleinagglomerationsgemeinde;31
36;Oberstammheim;D;ZH;ländlich-gemischte Gemeinde;41
37;Ossingen;D;ZH;Kleinagglomerationsgemeinde;31
38;Rheinau;D;ZH;Kleinagglomerationsgemeinde;31
39;Thalheim an der Thur;D;ZH;Kleinagglomerationsgemeinde;31
40;Trüllikon;D;ZH;Kleinagglomerationsgemeinde;31
41;Truttikon;D;ZH;Kleinagglomerationsgemeinde;31
42;Unterstammheim;D;ZH;ländlich-gemischte Gemeinde;41
43;Volken;D;ZH;Kleinagglomerationsgemeinde;31
44;Waltalingen;D;ZH;ländlich-gemischte Gemeinde;41
