jahr;agglotyp;partei;wert
1971;11;3;27,723529
1975;11;3;31,566175
1979;11;3;32,534219
1983;11;3;28,640918
1987;11;3;24,499276
1991;11;3;25,691691
1995;11;3;31,498811
1999;11;3;32,689476
2003;11;3;34,478335
2007;11;3;28,343868
2011;11;3;28,253897
1971;12;3;28,787617
1975;12;3;31,747776
1979;12;3;31,691527
1983;12;3;29,279429
1987;12;3;25,076979
1991;12;3;23,323882
1995;12;3;26,226524
1999;12;3;27,561894
2003;12;3;28,837102
2007;12;3;25,333
2011;12;3;24,704676
1971;13;3;25,152535
1975;13;3;27,262745
1979;13;3;24,971941
1983;13;3;25,093943
1987;13;3;20,925944
1991;13;3;20,466128
1995;13;3;25,096789
1999;13;3;25,534426
2003;13;3;26,283661
2007;13;3;21,573543
2011;13;3;21,496781
1971;21;3;16,761056
1975;21;3;19,700052
1979;21;3;19,704858
1983;21;3;18,067171
1987;21;3;14,651559
1991;21;3;16,878437
1995;21;3;20,128763
1999;21;3;19,742099
2003;21;3;20,105953
2007;21;3;17,116561
2011;21;3;16,710371
1971;22;3;21,42267
1975;22;3;23,953453
1979;22;3;24,118642
1983;22;3;22,369304
1987;22;3;17,425145
1991;22;3;17,447728
1995;22;3;21,569445
1999;22;3;22,315813
2003;22;3;22,646426
2007;22;3;18,204699
2011;22;3;17,522272
1971;23;3;24,462888
1975;23;3;27,803742
1979;23;3;29,045791
1983;23;3;26,741058
1987;23;3;20,063546
1991;23;3;19,696311
1995;23;3;23,41509
1999;23;3;22,657659
2003;23;3;24,711876
2007;23;3;20,405711
2011;23;3;20,541334
1971;31;3;23,088412
1975;31;3;24,313963
1979;31;3;23,663983
1983;31;3;22,700164
1987;31;3;17,689569
1991;31;3;17,362946
1995;31;3;20,245488
1999;31;3;20,949546
2003;31;3;21,833681
2007;31;3;18,007203
2011;31;3;17,214748
1971;41;3;16,715009
1975;41;3;17,228614
1979;41;3;15,820562
1983;41;3;15,778533
1987;41;3;13,024158
1991;41;3;13,175794
1995;41;3;14,279952
1999;41;3;15,758158
2003;41;3;16,161046
2007;41;3;14,608332
2011;41;3;13,006302
1971;11;4;4,304458
1975;11;4;4,028946
1979;11;4;4,940387
1983;11;4;4,655406
1987;11;4;4,797705
1991;11;4;8,152467
1995;11;4;10,235917
1999;11;4;17,216601
2003;11;4;20,125504
2007;11;4;20,665008
2011;11;4;16,987715
1971;12;4;3,861502
1975;12;4;2,899997
1979;12;4;3,758741
1983;12;4;4,356718
1987;12;4;3,901751
1991;12;4;3,851949
1995;12;4;8,196216
1999;12;4;15,178314
2003;12;4;20,21929
2007;12;4;22,574772
2011;12;4;20,15286
1971;13;4;3,588876
1975;13;4;3,451071
1979;13;4;3,699253
1983;13;4;3,765276
1987;13;4;3,965477
1991;13;4;4,983261
1995;13;4;8,32441
1999;13;4;17,152906
2003;13;4;21,816427
2007;13;4;24,528637
2011;13;4;22,460624
1971;21;4;11,205128
1975;21;4;9,55274
1979;21;4;11,043993
1983;21;4;10,611697
1987;21;4;11,066061
1991;21;4;13,114101
1995;21;4;15,221143
1999;21;4;23,027346
2003;21;4;27,943457
2007;21;4;28,939131
2011;21;4;27,274687
1971;22;4;16,286262
1975;22;4;13,853462
1979;22;4;16,171197
1983;22;4;14,262238
1987;22;4;14,567974
1991;22;4;14,889038
1995;22;4;18,694648
1999;22;4;26,06386
2003;22;4;29,114769
2007;22;4;30,888483
2011;22;4;28,194721
1971;23;4;9,800459
1975;23;4;9,063051
1979;23;4;11,151517
1983;23;4;9,917181
1987;23;4;10,615387
1991;23;4;11,930971
1995;23;4;15,190504
1999;23;4;23,785012
2003;23;4;28,587439
2007;23;4;31,218372
2011;23;4;27,475958
1971;31;4;10,718222
1975;31;4;9,531889
1979;31;4;11,494694
1983;31;4;11,412132
1987;31;4;11,133264
1991;31;4;11,42195
1995;31;4;14,048924
1999;31;4;22,705082
2003;31;4;27,736004
2007;31;4;30,765832
2011;31;4;28,367222
1971;41;4;21,119578
1975;41;4;19,112151
1979;41;4;20,076912
1983;41;4;19,224907
1987;41;4;18,036975
1991;41;4;17,469861
1995;41;4;20,493966
1999;41;4;26,783889
2003;41;4;30,404441
2007;41;4;33,721752
2011;41;4;32,033569
1971;11;1;20,784037
1975;11;1;20,436986
1979;11;1;23,73116
1983;11;1;22,417575
1987;11;1;22,197668
1991;11;1;22,294589
1995;11;1;20,774951
1999;11;1;19,303603
2003;11;1;16,630947
2007;11;1;14,937466
2011;11;1;12,538792
1971;12;1;27,871498
1975;12;1;28,805506
1979;12;1;31,272848
1983;12;1;29,039834
1987;12;1;28,601889
1991;12;1;26,172098
1995;12;1;24,319663
1999;12;1;23,013907
2003;12;1;19,741703
2007;12;1;18,444992
2011;12;1;15,088866
1971;13;1;28,824519
1975;13;1;29,374641
1979;13;1;32,363645
1983;13;1;32,215343
1987;13;1;30,48752
1991;13;1;28,833401
1995;13;1;24,757881
1999;13;1;22,013711
2003;13;1;19,640947
2007;13;1;17,98126
2011;13;1;17,24418
1971;21;1;30,458368
1975;21;1;32,276165
1979;21;1;36,489422
1983;21;1;35,482003
1987;21;1;33,192156
1991;21;1;32,361029
1995;21;1;30,404956
1999;21;1;30,256897
2003;21;1;26,488146
2007;21;1;22,579014
2011;21;1;19,550962
1971;22;1;21,681158
1975;22;1;22,757967
1979;22;1;24,820495
1983;22;1;24,229145
1987;22;1;23,213306
1991;22;1;21,901515
1995;22;1;20,999502
1999;22;1;21,060578
2003;22;1;19,074705
2007;22;1;17,218118
2011;22;1;14,042278
1971;23;1;21,497103
1975;23;1;21,540582
1979;23;1;23,59003
1983;23;1;22,348098
1987;23;1;21,811485
1991;23;1;20,489691
1995;23;1;19,901123
1999;23;1;19,848212
2003;23;1;17,347036
2007;23;1;15,544019
2011;23;1;12,732779
1971;31;1;25,914357
1975;31;1;26,573079
1979;31;1;27,718949
1983;31;1;27,573255
1987;31;1;27,416676
1991;31;1;24,832453
1995;31;1;23,939335
1999;31;1;23,03012
2003;31;1;20,036917
2007;31;1;18,100511
2011;31;1;16,408144
1971;41;1;21,891545
1975;41;1;21,640327
1979;41;1;22,946997
1983;41;1;22,849537
1987;41;1;23,033826
1991;41;1;20,794644
1995;41;1;20,514284
1999;41;1;20,020673
2003;41;1;17,550119
2007;41;1;16,309717
2011;41;1;13,63206
1971;11;2;9,393523
1975;11;2;9,512652
1979;11;2;10,069736
1983;11;2;8,740437
1987;11;2;7,866875
1991;11;2;7,497551
1995;11;2;6,585291
1999;11;2;6,261008
2003;11;2;5,884797
2007;11;2;6,90425
2011;11;2;5,045264
1971;12;2;20,031613
1975;12;2;19,913874
1979;12;2;20,009748
1983;12;2;20,523187
1987;12;2;20,48854
1991;12;2;18,062278
1995;12;2;16,989268
1999;12;2;15,739678
2003;12;2;13,180514
2007;12;2;13,692256
2011;12;2;12,184067
1971;13;2;25,319766
1975;13;2;24,71472
1979;13;2;26,055755
1983;13;2;24,217497
1987;13;2;24,894754
1991;13;2;20,457599
1995;13;2;20,150861
1999;13;2;21,524888
2003;13;2;20,189759
2007;13;2;18,801249
2011;13;2;17,00842
1971;21;2;13,473463
1975;21;2;14,565983
1979;21;2;14,190809
1983;21;2;13,008386
1987;21;2;11,875318
1991;21;2;11,114121
1995;21;2;10,221549
1999;21;2;9,86076
2003;21;2;9,326639
2007;21;2;10,803836
2011;21;2;8,607221
1971;22;2;16,070982
1975;22;2;17,870467
1979;22;2;17,676027
1983;22;2;16,705184
1987;22;2;15,941996
1991;22;2;14,44625
1995;22;2;12,935334
1999;22;2;12,165921
2003;22;2;10,982257
2007;22;2;12,034493
2011;22;2;9,873521
1971;23;2;15,864887
1975;23;2;16,192457
1979;23;2;16,265607
1983;23;2;15,618872
1987;23;2;15,564699
1991;23;2;13,737424
1995;23;2;12,722953
1999;23;2;12,365143
2003;23;2;10,75397
2007;23;2;11,687867
2011;23;2;9,339193
1971;31;2;25,120268
1975;31;2;25,871849
1979;31;2;25,805169
