"jahr";"kt";"Partei";"Wert"
1971;"AG";"3";23,903991
1975;"AG";"3";24,229005
1979;"AG";"3";27,649161
1983;"AG";"3";27,470387
1987;"AG";"3";18,454636
1991;"AG";"3";17,38689
1995;"AG";"3";19,441253
1999;"AG";"3";18,74622
2003;"AG";"3";21,238709
2007;"AG";"3";17,853416
2011;"AG";"3";18,000984
1971;"AI";"3";0
1975;"AI";"3";0
1979;"AI";"3";0
1983;"AI";"3";0
1987;"AI";"3";0
1991;"AI";"3";0
1995;"AI";"3";0
1999;"AI";"3";0
2003;"AI";"3";0
2007;"AI";"3";0
2011;"AI";"3";20,301309
1971;"AR";"3";37,425619
1975;"AR";"3";40,09828
1979;"AR";"3";0
1983;"AR";"3";23,595209
1987;"AR";"3";0
1991;"AR";"3";0
1995;"AR";"3";21,910903
1999;"AR";"3";29,645143
2003;"AR";"3";19,885321
2007;"AR";"3";0
2011;"AR";"3";0
1971;"BE";"3";32,513328
1975;"BE";"3";32,53014
1979;"BE";"3";30,69862
1983;"BE";"3";28,366036
1987;"BE";"3";22,371134
1991;"BE";"3";20,0763
1995;"BE";"3";24,705213
1999;"BE";"3";27,586169
2003;"BE";"3";27,944085
2007;"BE";"3";21,173199
2011;"BE";"3";19,322826
1971;"BL";"3";27,418789
1975;"BL";"3";29,506377
1979;"BL";"3";30,653036
1983;"BL";"3";32,007532
1987;"BL";"3";22,375271
1991;"BL";"3";23,727956
1995;"BL";"3";25,327425
1999;"BL";"3";23,346453
2003;"BL";"3";24,664883
2007;"BL";"3";25,190899
2011;"BL";"3";24,44304
1971;"BS";"3";30,420773
1975;"BS";"3";33,345184
1979;"BS";"3";33,341785
1983;"BS";"3";30,950666
1987;"BS";"3";25,94005
1991;"BS";"3";25,29511
1995;"BS";"3";35,520606
1999;"BS";"3";33,25938
2003;"BS";"3";40,91816
2007;"BS";"3";35,155783
2011;"BS";"3";29,181647
1971;"FR";"3";19,931215
1975;"FR";"3";25,774433
1979;"FR";"3";30,747692
1983;"FR";"3";23,986973
1987;"FR";"3";22,179713
1991;"FR";"3";18,612305
1995;"FR";"3";17,298084
1999;"FR";"3";20,265388
2003;"FR";"3";21,487026
2007;"FR";"3";22,734803
2011;"FR";"3";26,698962
1971;"GE";"3";19,088694
1975;"GE";"3";23,332501
1979;"GE";"3";21,471807
1983;"GE";"3";19,220576
1987;"GE";"3";18,573863
1991;"GE";"3";26,407645
1995;"GE";"3";30,118949
1999;"GE";"3";19,931598
2003;"GE";"3";24,633033
2007;"GE";"3";18,906267
2011;"GE";"3";19,090592
1971;"GL";"3";57,198385
1975;"GL";"3";64,715077
1979;"GL";"3";0
1983;"GL";"3";0
1987;"GL";"3";0
1991;"GL";"3";53,692458
1995;"GL";"3";83,902257
1999;"GL";"3";85,674111
2003;"GL";"3";67,118704
2007;"GL";"3";55,54549
2011;"GL";"3";24,558411
1971;"GR";"3";13,906141
1975;"GR";"3";15,220085
1979;"GR";"3";20,509824
1983;"GR";"3";24,638608
1987;"GR";"3";19,554309
1991;"GR";"3";21,248179
1995;"GR";"3";21,600845
1999;"GR";"3";26,611455
2003;"GR";"3";24,881874
2007;"GR";"3";23,685293
2011;"GR";"3";15,594578
1971;"JU";"3";15,171836
1975;"JU";"3";15,868971
1979;"JU";"3";0,004191
1983;"JU";"3";17,8114
1987;"JU";"3";25,439893
1991;"JU";"3";28,818691
1995;"JU";"3";32,304589
1999;"JU";"3";34,125225
2003;"JU";"3";34,155071
2007;"JU";"3";36,879696
2011;"JU";"3";30,798771
1971;"LU";"3";12,439674
1975;"LU";"3";13,43409
1979;"LU";"3";12,533684
1983;"LU";"3";11,752101
1987;"LU";"3";9,01531
1991;"LU";"3";11,037654
1995;"LU";"3";11,679084
1999;"LU";"3";9,934757
2003;"LU";"3";11,067838
2007;"LU";"3";11,408218
2011;"LU";"3";11,410803
1971;"NE";"3";30,571302
1975;"NE";"3";38,858158
1979;"NE";"3";37,42596
1983;"NE";"3";33,136351
1987;"NE";"3";30,854896
1991;"NE";"3";29,803468
1995;"NE";"3";28,169102
1999;"NE";"3";27,975728
2003;"NE";"3";29,246532
2007;"NE";"3";25,921685
2011;"NE";"3";24,725251
1971;"NW";"3";0
1975;"NW";"3";0
1979;"NW";"3";10,569939
1983;"NW";"3";0
1987;"NW";"3";0
1991;"NW";"3";0
1995;"NW";"3";0
1999;"NW";"3";0
2003;"NW";"3";0
2007;"NW";"3";0
2011;"NW";"3";0
1971;"OW";"3";0
1975;"OW";"3";0
1979;"OW";"3";0
1983;"OW";"3";0
1987;"OW";"3";0
1991;"OW";"3";0
1995;"OW";"3";0
1999;"OW";"3";0
2003;"OW";"3";0
2007;"OW";"3";11,57404
2011;"OW";"3";0
1971;"SG";"3";14,61375
1975;"SG";"3";15,110491
1979;"SG";"3";17,964008
1983;"SG";"3";16,291009
1987;"SG";"3";11,404378
1991;"SG";"3";13,081633
1995;"SG";"3";16,195056
1999;"SG";"3";17,068165
2003;"SG";"3";18,38492
2007;"SG";"3";14,734488
2011;"SG";"3";16,65346
1971;"SH";"3";40,181678
1975;"SH";"3";37,177542
1979;"SH";"3";35,296602
1983;"SH";"3";35,316464
1987;"SH";"3";39,182007
1991;"SH";"3";34,130678
1995;"SH";"3";37,803457
1999;"SH";"3";33,580142
2003;"SH";"3";39,680522
2007;"SH";"3";34,216552
2011;"SH";"3";34,541686
1971;"SO";"3";26,296758
1975;"SO";"3";31,363782
1979;"SO";"3";28,421597
1983;"SO";"3";27,775904
1987;"SO";"3";22,278365
1991;"SO";"3";19,803312
1995;"SO";"3";24,234037
1999;"SO";"3";27,195191
2003;"SO";"3";25,367359
2007;"SO";"3";19,456949
2011;"SO";"3";18,302264
1971;"SZ";"3";28,977749
1975;"SZ";"3";29,336434
1979;"SZ";"3";22,600955
1983;"SZ";"3";21,000673
1987;"SZ";"3";14,287257
1991;"SZ";"3";19,366362
1995;"SZ";"3";19,899746
1999;"SZ";"3";16,371695
2003;"SZ";"3";17,558887
2007;"SZ";"3";13,923647
2011;"SZ";"3";15,65867
1971;"TG";"3";20,685695
1975;"TG";"3";21,577902
1979;"TG";"3";22,421964
1983;"TG";"3";19,513352
1987;"TG";"3";13,450383
1991;"TG";"3";15,148828
1995;"TG";"3";18,114344
1999;"TG";"3";16,076641
2003;"TG";"3";14,090681
2007;"TG";"3";11,672384
2011;"TG";"3";12,057458
1971;"TI";"3";13,130327
1975;"TI";"3";13,905737
1979;"TI";"3";15,243655
1983;"TI";"3";13,788409
1987;"TI";"3";9,274935
1991;"TI";"3";6,73208
1995;"TI";"3";17,063007
1999;"TI";"3";18,762116
2003;"TI";"3";25,830959
2007;"TI";"3";18,111633
2011;"TI";"3";16,605693
1971;"UR";"3";0
1975;"UR";"3";0
1979;"UR";"3";23,023154
1983;"UR";"3";0
1987;"UR";"3";0
1991;"UR";"3";0
1995;"UR";"3";0
1999;"UR";"3";0
2003;"UR";"3";0
2007;"UR";"3";0
2011;"UR";"3";21,432132
1971;"VD";"3";25,01792
1975;"VD";"3";27,592908
1979;"VD";"3";24,909595
1983;"VD";"3";21,868412
1987;"VD";"3";22,55439
1991;"VD";"3";22,925367
1995;"VD";"3";22,704126
1999;"VD";"3";22,387247
2003;"VD";"3";21,734812
2007;"VD";"3";21,997286
2011;"VD";"3";25,224929
1971;"VS";"3";15,437721
1975;"VS";"3";17,440059
1979;"VS";"3";11,568344
1983;"VS";"3";14,132769
1987;"VS";"3";14,525697
1991;"VS";"3";14,473167
1995;"VS";"3";16,612315
1999;"VS";"3";16,87704
2003;"VS";"3";19,083915
2007;"VS";"3";14,69574
2011;"VS";"3";14,616969
1971;"ZG";"3";0
1975;"ZG";"3";35,659931
1979;"ZG";"3";30,89285
1983;"ZG";"3";22,752119
1987;"ZG";"3";22,55838
1991;"ZG";"3";16,074631
1995;"ZG";"3";16,98319
1999;"ZG";"3";23,275175
2003;"ZG";"3";13,438964
2007;"ZG";"3";9,076211
2011;"ZG";"3";5,270031
1971;"ZH";"3";20,872989
1975;"ZH";"3";23,937024
1979;"ZH";"3";26,471614
1983;"ZH";"3";23,003869
1987;"ZH";"3";17,434522
1991;"ZH";"3";18,786314
1995;"ZH";"3";23,069259
1999;"ZH";"3";25,624458
