agglotyp;jahr;dim;wert
11;1981;21;3.69
11;1981;22;-8.24
12;1981;21;3.17
12;1981;22;-2.85
13;1981;21;1.11
13;1981;22;-0.13
21;1981;21;6.69
21;1981;22;2.25
22;1981;21;0.89
22;1981;22;0.32
23;1981;21;1.28
23;1981;22;-3.73
31;1981;21;-3.76
31;1981;22;3.00
41;1981;21;-6.00
41;1981;22;5.72
11;1982;21;3.68
11;1982;22;-8.28
12;1982;21;3.17
12;1982;22;-2.87
13;1982;21;1.11
13;1982;22;-0.09
21;1982;21;6.70
21;1982;22;2.15
22;1982;21;0.90
22;1982;22;0.27
23;1982;21;1.25
23;1982;22;-3.69
31;1982;21;-3.73
31;1982;22;3.03
41;1982;21;-5.99
41;1982;22;5.71
11;1983;21;3.67
11;1983;22;-8.31
12;1983;21;3.15
12;1983;22;-2.90
13;1983;21;1.09
13;1983;22;-0.08
21;1983;21;6.72
21;1983;22;2.05
22;1983;21;0.92
22;1983;22;0.23
23;1983;21;1.22
23;1983;22;-3.66
31;1983;21;-3.69
31;1983;22;3.05
41;1983;21;-5.98
41;1983;22;5.71
11;1984;21;3.70
11;1984;22;-8.35
12;1984;21;3.12
12;1984;22;-2.94
13;1984;21;1.05
13;1984;22;-0.08
21;1984;21;6.74
21;1984;22;1.96
22;1984;21;0.94
22;1984;22;0.19
23;1984;21;1.19
23;1984;22;-3.63
31;1984;21;-3.65
31;1984;22;3.06
41;1984;21;-5.97
41;1984;22;5.71
11;1985;21;3.75
11;1985;22;-8.39
12;1985;21;3.06
12;1985;22;-2.99
13;1985;21;0.98
13;1985;22;-0.09
21;1985;21;6.75
21;1985;22;1.88
22;1985;21;0.97
22;1985;22;0.15
23;1985;21;1.16
23;1985;22;-3.60
31;1985;21;-3.61
31;1985;22;3.07
41;1985;21;-5.97
41;1985;22;5.71
11;1986;21;3.84
11;1986;22;-8.41
12;1986;21;2.97
12;1986;22;-3.04
13;1986;21;0.87
13;1986;22;-0.12
21;1986;21;6.75
21;1986;22;1.81
22;1986;21;1.02
22;1986;22;0.11
23;1986;21;1.12
23;1986;22;-3.55
31;1986;21;-3.56
31;1986;22;3.06
41;1986;21;-5.96
41;1986;22;5.70
11;1987;21;3.98
11;1987;22;-8.42
12;1987;21;2.86
12;1987;22;-3.09
13;1987;21;0.73
13;1987;22;-0.15
21;1987;21;6.74
21;1987;22;1.77
22;1987;21;1.07
22;1987;22;0.09
23;1987;21;1.07
23;1987;22;-3.48
31;1987;21;-3.53
31;1987;22;3.05
41;1987;21;-5.97
41;1987;22;5.65
11;1988;21;4.17
11;1988;22;-8.39
12;1988;21;2.74
12;1988;22;-3.13
13;1988;21;0.57
13;1988;22;-0.21
21;1988;21;6.73
21;1988;22;1.75
22;1988;21;1.12
22;1988;22;0.08
23;1988;21;1.02
23;1988;22;-3.39
31;1988;21;-3.52
31;1988;22;3.00
41;1988;21;-5.98
41;1988;22;5.55
11;1989;21;4.39
11;1989;22;-8.32
12;1989;21;2.62
12;1989;22;-3.17
13;1989;21;0.41
13;1989;22;-0.28
21;1989;21;6.71
21;1989;22;1.78
22;1989;21;1.18
22;1989;22;0.09
23;1989;21;0.96
23;1989;22;-3.27
31;1989;21;-3.52
31;1989;22;2.93
41;1989;21;-6.00
41;1989;22;5.39
11;1990;21;4.62
11;1990;22;-8.19
12;1990;21;2.51
12;1990;22;-3.20
13;1990;21;0.25
13;1990;22;-0.38
21;1990;21;6.68
21;1990;22;1.86
22;1990;21;1.23
22;1990;22;0.14
23;1990;21;0.90
23;1990;22;-3.11
31;1990;21;-3.54
31;1990;22;2.81
41;1990;21;-6.02
41;1990;22;5.16
11;1991;21;4.84
11;1991;22;-8.02
12;1991;21;2.41
12;1991;22;-3.25
13;1991;21;0.11
13;1991;22;-0.52
21;1991;21;6.64
21;1991;22;2.01
22;1991;21;1.27
22;1991;22;0.23
23;1991;21;0.84
23;1991;22;-2.92
31;1991;21;-3.57
31;1991;22;2.65
41;1991;21;-6.03
41;1991;22;4.87
11;1992;21;5.05
11;1992;22;-7.80
12;1992;21;2.32
12;1992;22;-3.33
13;1992;21;-0.01
13;1992;22;-0.70
21;1992;21;6.60
21;1992;22;2.22
22;1992;21;1.29
22;1992;22;0.34
23;1992;21;0.76
23;1992;22;-2.73
31;1992;21;-3.61
31;1992;22;2.46
41;1992;21;-6.03
41;1992;22;4.53
11;1993;21;5.25
11;1993;22;-7.57
12;1993;21;2.23
12;1993;22;-3.42
13;1993;21;-0.11
13;1993;22;-0.90
21;1993;21;6.54
21;1993;22;2.48
22;1993;21;1.31
22;1993;22;0.49
23;1993;21;0.68
23;1993;22;-2.54
31;1993;21;-3.65
31;1993;22;2.25
41;1993;21;-6.03
41;1993;22;4.18
11;1994;21;5.44
11;1994;22;-7.37
12;1994;21;2.15
12;1994;22;-3.54
13;1994;21;-0.18
13;1994;22;-1.11
21;1994;21;6.47
21;1994;22;2.75
22;1994;21;1.32
22;1994;22;0.63
23;1994;21;0.59
23;1994;22;-2.36
31;1994;21;-3.67
31;1994;22;2.06
41;1994;21;-6.01
41;1994;22;3.87
11;1995;21;5.62
11;1995;22;-7.23
12;1995;21;2.08
12;1995;22;-3.69
13;1995;21;-0.24
13;1995;22;-1.30
21;1995;21;6.38
21;1995;22;3.01
22;1995;21;1.32
22;1995;22;0.78
23;1995;21;0.48
23;1995;22;-2.22
31;1995;21;-3.69
31;1995;22;1.90
41;1995;21;-5.98
41;1995;22;3.60
11;1996;21;5.80
11;1996;22;-7.16
12;1996;21;2.02
12;1996;22;-3.83
13;1996;21;-0.28
13;1996;22;-1.46
21;1996;21;6.26
21;1996;22;3.24
22;1996;21;1.30
22;1996;22;0.90
23;1996;21;0.36
23;1996;22;-2.11
31;1996;21;-3.70
31;1996;22;1.77
41;1996;21;-5.95
41;1996;22;3.40
11;1997;21;5.98
11;1997;22;-7.16
12;1997;21;1.98
12;1997;22;-3.98
13;1997;21;-0.29
13;1997;22;-1.58
21;1997;21;6.14
21;1997;22;3.43
22;1997;21;1.28
22;1997;22;1.00
23;1997;21;0.23
23;1997;22;-2.01
31;1997;21;-3.69
31;1997;22;1.69
41;1997;21;-5.92
41;1997;22;3.25
11;1998;21;6.15
11;1998;22;-7.21
12;1998;21;1.96
12;1998;22;-4.11
13;1998;21;-0.29
13;1998;22;-1.66
21;1998;21;6.02
21;1998;22;3.58
22;1998;21;1.25
22;1998;22;1.08
23;1998;21;0.08
23;1998;22;-1.94
31;1998;21;-3.68
31;1998;22;1.65
41;1998;21;-5.89
41;1998;22;3.14
11;1999;21;6.31
11;1999;22;-7.29
12;1999;21;1.98
12;1999;22;-4.23
13;1999;21;-0.28
13;1999;22;-1.71
21;1999;21;5.92
21;1999;22;3.70
22;1999;21;1.21
22;1999;22;1.15
23;1999;21;-0.06
23;1999;22;-1.88
31;1999;21;-3.67
31;1999;22;1.64
41;1999;21;-5.87
41;1999;22;3.07
11;2000;21;6.47
11;2000;22;-7.39
12;2000;21;2.01
12;2000;22;-4.33
13;2000;21;-0.26
13;2000;22;-1.73
21;2000;21;5.84
21;2000;22;3.80
22;2000;21;1.16
22;2000;22;1.20
23;2000;21;-0.19
23;2000;22;-1.84
31;2000;21;-3.66
31;2000;22;1.64
41;2000;21;-5.87
41;2000;22;3.01
11;2001;21;6.63
11;2001;22;-7.48
12;2001;21;2.06
12;2001;22;-4.41
13;2001;21;-0.24
13;2001;22;-1.73
21;2001;21;5.78
21;2001;22;3.88
22;2001;21;1.11
22;2001;22;1.23
23;2001;21;-0.32
23;2001;22;-1.80
31;2001;21;-3.65
31;2001;22;1.64
41;2001;21;-5.87
41;2001;22;2.95
11;2002;21;6.78
11;2002;22;-7.58
12;2002;21;2.12
12;2002;22;-4.46
13;2002;21;-0.21
13;2002;22;-1.72
21;2002;21;5.73
21;2002;22;3.97
22;2002;21;1.06
22;2002;22;1.26
23;2002;21;-0.44
23;2002;22;-1.78
31;2002;21;-3.66
31;2002;22;1.65
41;2002;21;-5.86
41;2002;22;2.89
11;2003;21;6.93
11;2003;22;-7.66
12;2003;21;2.18
12;2003;22;-4.50
13;2003;21;-0.18
13;2003;22;-1.70
21;2003;21;5.70
21;2003;22;4.05
22;2003;21;0.99
22;2003;22;1.27
23;2003;21;-0.55
23;2003;22;-1.76
31;2003;21;-3.66
31;2003;22;1.65
41;2003;21;-5.85
41;2003;22;2.84
11;2004;21;7.07
11;2004;22;-7.75
12;2004;21;2.23
12;2004;22;-4.50
13;2004;21;-0.14
13;2004;22;-1.67
21;2004;21;5.65
21;2004;22;4.13
22;2004;21;0.92
22;2004;22;1.28
23;2004;21;-0.66
23;2004;22;-1.76
31;2004;21;-3.66
31;2004;22;1.65
41;2004;21;-5.82
41;2004;22;2.79
11;2005;21;7.19
11;2005;22;-7.85
12;2005;21;2.27
12;2005;22;-4.49
13;2005;21;-0.09
13;2005;22;-1.65
21;2005;21;5.58
21;2005;22;4.20
22;2005;21;0.83
22;2005;22;1.27
23;2005;21;-0.76
23;2005;22;-1.76
31;2005;21;-3.65
31;2005;22;1.65
41;2005;21;-5.75
41;2005;22;2.76
11;2006;21;7.30
11;2006;22;-7.99
12;2006;21;2.30
12;2006;22;-4.44
13;2006;21;-0.01
13;2006;22;-1.63
21;2006;21;5.49
21;2006;22;4.24
22;2006;21;0.74
22;2006;22;1.25
23;2006;21;-0.87
23;2006;22;-1.77
31;2006;21;-3.63
31;2006;22;1.66
41;2006;21;-5.65
41;2006;22;2.76
11;2007;21;7.38
11;2007;22;-8.18
12;2007;21;2.33
12;2007;22;-4.39
13;2007;21;0.09
13;2007;22;-1.61
21;2007;21;5.36
21;2007;22;4.24
22;2007;21;0.63
22;2007;22;1.22
23;2007;21;-0.97
23;2007;22;-1.78
31;2007;21;-3.60
31;2007;22;1.69
41;2007;21;-5.51
41;2007;22;2.80
11;2008;21;7.42
11;2008;22;-8.42
12;2008;21;2.34
12;2008;22;-4.32
13;2008;21;0.20
13;2008;22;-1.60
21;2008;21;5.21
21;2008;22;4.19
22;2008;21;0.51
22;2008;22;1.18
23;2008;21;-1.08
23;2008;22;-1.79
31;2008;21;-3.54
31;2008;22;1.73
41;2008;21;-5.34
41;2008;22;2.89
11;2009;21;7.43
11;2009;22;-8.71
12;2009;21;2.34
12;2009;22;-4.27
13;2009;21;0.33
13;2009;22;-1.61
21;2009;21;5.04
21;2009;22;4.10
22;2009;21;0.39
22;2009;22;1.13
23;2009;21;-1.18
23;2009;22;-1.79
31;2009;21;-3.47
31;2009;22;1.80
41;2009;21;-5.15
41;2009;22;3.01
11;2010;21;7.42
11;2010;22;-9.03
12;2010;21;2.34
12;2010;22;-4.24
13;2010;21;0.46
13;2010;22;-1.63
21;2010;21;4.88
21;2010;22;3.98
22;2010;21;0.27
22;2010;22;1.09
23;2010;21;-1.26
23;2010;22;-1.78
31;2010;21;-3.40
31;2010;22;1.89
41;2010;21;-4.97
41;2010;22;3.16
11;2011;21;7.40
11;2011;22;-9.36
12;2011;21;2.34
12;2011;22;-4.24
13;2011;21;0.59
13;2011;22;-1.65
21;2011;21;4.73
21;2011;22;3.84
22;2011;21;0.16
22;2011;22;1.06
23;2011;21;-1.34
23;2011;22;-1.75
31;2011;21;-3.33
31;2011;22;1.99
41;2011;21;-4.82
41;2011;22;3.32
11;2012;21;7.38
11;2012;22;-9.66
12;2012;21;2.34
12;2012;22;-4.25
13;2012;21;0.70
13;2012;22;-1.69
21;2012;21;4.61
21;2012;22;3.70
22;2012;21;0.06
22;2012;22;1.03
23;2012;21;-1.39
23;2012;22;-1.73
31;2012;21;-3.27
