gnr;jahr;dim;wert
1;1981;21;8.50
1;1981;22;4.68
2;1981;21;1.14
2;1981;22;-0.20
3;1981;21;4.96
3;1981;22;-2.46
4;1981;21;4.95
4;1981;22;0.51
5;1981;21;3.38
5;1981;22;-0.54
6;1981;21;-4.36
6;1981;22;7.46
7;1981;21;-1.16
7;1981;22;1.79
8;1981;21;-1.16
8;1981;22;4.01
9;1981;21;2.25
9;1981;22;1.88
10;1981;21;3.65
10;1981;22;-0.28
11;1981;21;7.52
11;1981;22;-0.54
12;1981;21;4.35
12;1981;22;1.80
13;1981;21;9.58
13;1981;22;1.83
14;1981;21;9.43
14;1981;22;4.33
21;1981;21;-8.19
21;1981;22;16.02
22;1981;21;-8.55
22;1981;22;13.58
23;1981;21;-12.20
23;1981;22;10.19
24;1981;21;-10.18
24;1981;22;10.72
25;1981;21;-1.61
25;1981;22;-0.66
26;1981;21;-10.14
26;1981;22;14.40
27;1981;21;-6.68
27;1981;22;-0.03
28;1981;21;-10.86
28;1981;22;12.32
29;1981;21;6.25
29;1981;22;2.68
30;1981;21;-1.70
30;1981;22;10.36
31;1981;21;-4.14
31;1981;22;4.49
32;1981;21;-4.91
32;1981;22;12.62
33;1981;21;-5.36
33;1981;22;6.93
34;1981;21;-1.57
34;1981;22;4.44
35;1981;21;-5.34
35;1981;22;4.97
36;1981;21;-6.01
36;1981;22;8.73
37;1981;21;-8.78
37;1981;22;9.89
38;1981;21;-4.53
38;1981;22;-3.71
39;1981;21;-5.81
39;1981;22;9.77
40;1981;21;-6.27
40;1981;22;7.08
41;1981;21;-14.44
41;1981;22;13.07
42;1981;21;-3.50
42;1981;22;8.94
43;1981;21;-9.78
43;1981;22;16.40
44;1981;21;-3.13
44;1981;22;8.87
51;1981;21;-1.76
51;1981;22;-0.58
52;1981;21;1.91
52;1981;22;-0.98
53;1981;21;-2.67
53;1981;22;1.34
54;1981;21;6.94
54;1981;22;-0.71
55;1981;21;-0.93
55;1981;22;3.14
56;1981;21;-1.56
56;1981;22;-2.50
57;1981;21;-6.00
57;1981;22;2.90
58;1981;21;-5.51
58;1981;22;-0.42
59;1981;21;-7.46
59;1981;22;3.86
60;1981;21;-11.78
60;1981;22;5.57
61;1981;21;-6.47
61;1981;22;2.12
62;1981;21;1.53
62;1981;22;-3.60
63;1981;21;-7.57
63;1981;22;8.52
64;1981;21;3.33
64;1981;22;6.34
65;1981;21;-5.09
65;1981;22;8.22
66;1981;21;4.15
66;1981;22;-1.13
67;1981;21;-13.26
