kt;jahr;dim;wert
"AG";1981;21;-6.15
"AG";1981;22;5.46
"AI";1981;21;-9.55
"AI";1981;22;13.83
"AR";1981;21;-4.63
"AR";1981;22;8.42
"BE";1981;21;-1.49
"BE";1981;22;1.54
"BL";1981;21;3.91
"BL";1981;22;-5.74
"BS";1981;21;4.84
"BS";1981;22;-11.72
"FR";1981;21;1.13
"FR";1981;22;0.44
"GE";1981;21;8.62
"GE";1981;22;-9.37
"GL";1981;21;-6.50
"GL";1981;22;5.32
"GR";1981;21;1.77
"GR";1981;22;1.93
"JU";1981;21;4.56
"JU";1981;22;-13.46
"LU";1981;21;-2.65
"LU";1981;22;2.92
"NE";1981;21;7.64
"NE";1981;22;-4.83
"NW";1981;21;-4.18
"NW";1981;22;7.23
"OW";1981;21;-6.34
"OW";1981;22;7.65
"SG";1981;21;-1.38
"SG";1981;22;5.06
"SH";1981;21;-2.05
"SH";1981;22;1.36
"SO";1981;21;-3.58
"SO";1981;22;0.01
"SZ";1981;21;-10.61
"SZ";1981;22;7.65
"TG";1981;21;-3.11
"TG";1981;22;7.94
"TI";1981;21;4.00
"TI";1981;22;-11.85
"UR";1981;21;-6.90
"UR";1981;22;0.15
"VD";1981;21;5.62
"VD";1981;22;-1.15
"VS";1981;21;-5.70
"VS";1981;22;7.53
"ZG";1981;21;0.67
"ZG";1981;22;4.11
"ZH";1981;21;2.01
"ZH";1981;22;-1.23
"AG";1982;21;-6.06
"AG";1982;22;5.61
"AI";1982;21;-9.25
"AI";1982;22;13.71
"AR";1982;21;-4.37
"AR";1982;22;8.25
"BE";1982;21;-1.55
"BE";1982;22;1.65
"BL";1982;21;3.91
"BL";1982;22;-5.59
"BS";1982;21;4.80
"BS";1982;22;-11.64
"FR";1982;21;1.04
"FR";1982;22;0.34
"GE";1982;21;8.53
"GE";1982;22;-9.62
"GL";1982;21;-6.13
"GL";1982;22;5.45
"GR";1982;21;1.78
"GR";1982;22;1.89
"JU";1982;21;4.03
"JU";1982;22;-13.43
"LU";1982;21;-2.53
"LU";1982;22;2.94
"NE";1982;21;7.57
"NE";1982;22;-4.96
"NW";1982;21;-3.92
"NW";1982;22;7.26
"OW";1982;21;-6.19
"OW";1982;22;7.68
"SG";1982;21;-1.30
"SG";1982;22;4.93
"SH";1982;21;-2.18
"SH";1982;22;1.30
"SO";1982;21;-3.63
"SO";1982;22;0.21
"SZ";1982;21;-10.36
"SZ";1982;22;7.64
"TG";1982;21;-3.18
"TG";1982;22;7.85
"TI";1982;21;3.93
"TI";1982;22;-11.95
"UR";1982;21;-6.82
"UR";1982;22;0.26
"VD";1982;21;5.68
"VD";1982;22;-1.15
"VS";1982;21;-5.47
"VS";1982;22;7.47
"ZG";1982;21;0.84
"ZG";1982;22;4.15
"ZH";1982;21;2.00
"ZH";1982;22;-1.31
"AG";1983;21;-5.93
"AG";1983;22;5.74
"AI";1983;21;-8.94
"AI";1983;22;13.61
"AR";1983;21;-4.15
"AR";1983;22;8.05
"BE";1983;21;-1.60
"BE";1983;22;1.75
"BL";1983;21;3.89
"BL";1983;22;-5.43
"BS";1983;21;4.75
"BS";1983;22;-11.55
"FR";1983;21;0.98
"FR";1983;22;0.23
"GE";1983;21;8.44
"GE";1983;22;-9.90
"GL";1983;21;-5.80
"GL";1983;22;5.54
"GR";1983;21;1.72
"GR";1983;22;1.86
"JU";1983;21;3.52
"JU";1983;22;-13.45
"LU";1983;21;-2.44
"LU";1983;22;2.98
"NE";1983;21;7.45
"NE";1983;22;-5.09
"NW";1983;21;-3.66
"NW";1983;22;7.30
"OW";1983;21;-6.06
"OW";1983;22;7.74
"SG";1983;21;-1.27
"SG";1983;22;4.79
"SH";1983;21;-2.32
"SH";1983;22;1.22
"SO";1983;21;-3.67
"SO";1983;22;0.40
"SZ";1983;21;-10.14
"SZ";1983;22;7.63
"TG";1983;21;-3.28
"TG";1983;22;7.75
"TI";1983;21;3.78
"TI";1983;22;-12.03
"UR";1983;21;-6.77
"UR";1983;22;0.41
"VD";1983;21;5.78
"VD";1983;22;-1.14
"VS";1983;21;-5.21
"VS";1983;22;7.41
"ZG";1983;21;0.99
"ZG";1983;22;4.16
"ZH";1983;21;1.99
"ZH";1983;22;-1.38
"AG";1984;21;-5.78
"AG";1984;22;5.88
"AI";1984;21;-8.67
"AI";1984;22;13.52
"AR";1984;21;-4.00
"AR";1984;22;7.82
"BE";1984;21;-1.60
"BE";1984;22;1.83
"BL";1984;21;3.84
"BL";1984;22;-5.28
"BS";1984;21;4.72
