"id","name_official","sprachreg_id","kt_id","agglotyp_id","name_d","name_f","name_i"
1,"Aeugst am Albis","D","ZH",21,,,
2,"Affoltern am Albis","D","ZH",23,,,
3,"Bonstetten","D","ZH",21,,,
4,"Hausen am Albis","D","ZH",22,,,
5,"Hedingen","D","ZH",21,,,
6,"Kappel am Albis","D","ZH",31,,,
7,"Knonau","D","ZH",21,,,
8,"Maschwanden","D","ZH",22,,,
9,"Mettmenstetten","D","ZH",22,,,
10,"Obfelden","D","ZH",22,,,
11,"Ottenbach","D","ZH",22,,,
12,"Rifferswil","D","ZH",21,,,
13,"Stallikon","D","ZH",21,,,
14,"Wettswil am Albis","D","ZH",21,,,
21,"Adlikon","D","ZH",31,,,
22,"Benken (ZH)","D","ZH",31,,,
23,"Berg am Irchel","D","ZH",22,,,
24,"Buch am Irchel","D","ZH",31,,,
25,"Dachsen","D","ZH",31,,,
26,"Dorf","D","ZH",31,,,
27,"Feuerthalen","D","ZH",31,,,
28,"Flaach","D","ZH",31,,,
29,"Flurlingen","D","ZH",31,,,
30,"Andelfingen","D","ZH",31,,,
31,"Henggart","D","ZH",31,,,
32,"Humlikon","D","ZH",31,,,
33,"Kleinandelfingen","D","ZH",31,,,
34,"Laufen-Uhwiesen","D","ZH",31,,,
35,"Marthalen","D","ZH",31,,,
36,"Oberstammheim","D","ZH",41,,,
37,"Ossingen","D","ZH",31,,,
38,"Rheinau","D","ZH",31,,,
39,"Thalheim an der Thur","D","ZH",31,,,
40,"Trüllikon","D","ZH",31,,,
41,"Truttikon","D","ZH",31,,,
42,"Unterstammheim","D","ZH",41,,,
43,"Volken","D","ZH",31,,,
44,"Waltalingen","D","ZH",41,,,
51,"Bachenbülach","D","ZH",22,,,
52,"Bassersdorf","D","ZH",22,,,
53,"Bülach","D","ZH",22,,,
54,"Dietlikon","D","ZH",22,,,
55,"Eglisau","D","ZH",21,,,
56,"Embrach","D","ZH",22,,,
57,"Freienstein-Teufen","D","ZH",22,,,
58,"Glattfelden","D","ZH",22,,,
59,"Hochfelden","D","ZH",21,,,
60,"Höri","D","ZH",23,,,
61,"Hüntwangen","D","ZH",21,,,
62,"Kloten","D","ZH",23,,,
63,"Lufingen","D","ZH",21,,,
64,"Nürensdorf","D","ZH",21,,,
