"jahr","sprachreg_id","partei","wert"
1971,"D",3,23.4897
1975,"D",3,25.34745
1979,"D",3,25.499936
1983,"D",3,23.882891
1987,"D",3,18.323868
1991,"D",3,18.576743
1995,"D",3,21.8844
1999,"D",3,22.842816
2003,"D",3,23.18469
2007,"D",3,18.865492
2011,"D",3,17.636443
1971,"F",3,23.105361
1975,"F",3,26.329748
1979,"F",3,23.13864
1983,"F",3,21.482156
1987,"F",3,21.189058
1991,"F",3,21.852033
1995,"F",3,22.968383
1999,"F",3,21.97975
2003,"F",3,23.422359
2007,"F",3,22.084944
2011,"F",3,23.296339
1971,"I",3,13.448944
1975,"I",3,14.054801
1979,"I",3,15.476019
1983,"I",3,13.903682
1987,"I",3,9.849772
1991,"I",3,7.070455
1995,"I",3,17.020304
1999,"I",3,19.095477
2003,"I",3,25.718625
2007,"I",3,18.544104
2011,"I",3,16.755606
1971,"R",3,4.754405
1975,"R",3,6.917309
1979,"R",3,10.244351
1983,"R",3,14.443937
1987,"R",3,15.286203
1991,"R",3,13.752307
1995,"R",3,13.511053
1999,"R",3,17.80303
2003,"R",3,15.845909
2007,"R",3,16.153185
2011,"R",3,9.572688
1971,"D",4,13.002576
1975,"D",4,11.954898
1979,"D",4,14.262533
1983,"D",4,13.673298
1987,"D",4,13.531385
1991,"D",4,14.672341
1995,"D",4,18.428446
1999,"D",4,26.907165
2003,"D",4,30.128682
2007,"D",4,32.389164
2011,"D",4,29.411017
1971,"F",4,5.069087
1975,"F",4,4.790096
1979,"F",4,3.860669
1983,"F",4,3.989913
1987,"F",4,3.971139
1991,"F",4,4.697503
1995,"F",4,4.241273
1999,"F",4,8.974787
2003,"F",4,19.220366
2007,"F",4,20.95975
2011,"F",4,20.28743
1971,"I",4,3.480642
1975,"I",4,0.974623
1979,"I",4,3.204154
1983,"I",4,2.265992
1987,"I",4,1.518881
1991,"I",4,1.207977
1995,"I",4,1.858459
1999,"I",4,5.778894
2003,"I",4,8.036493
2007,"I",4,9.615945
2011,"I",4,10.29337
1971,"R",4,19.352298
1975,"R",4,16.020699
1979,"R",4,12.534506
1983,"R",4,12.582781
1987,"R",4,11.889269
1991,"R",4,11.635732
1995,"R",4,21.937581
1999,"R",4,21.236559
2003,"R",4,26.952608
2007,"R",4,30.587946
2011,"R",4,18.60984
1971,"D",1,20.943473
1975,"D",1,21.51443
1979,"D",1,23.915928
1983,"D",1,22.330067
1987,"D",1,22.186551
1991,"D",1,20.134791
1995,"D",1,19.74316
1999,"D",1,19.870661
2003,"D",1,17.557946
2007,"D",1,15.980316
2011,"D",1,13.139597
1971,"F",1,33.431531
1975,"F",1,33.068461
1979,"F",1,35.815867
1983,"F",1,37.341474
1987,"F",1,36.948272
1991,"F",1,37.654374
1995,"F",1,33.874514
1999,"F",1,30.860094
2003,"F",1,24.129111
2007,"F",1,21.228591
2011,"F",1,20.334073
1971,"I",1,36.68488
1975,"I",1,37.796004
1979,"I",1,35.31337
1983,"I",1,37.277493
1987,"I",1,34.431225
1991,"I",1,28.934997
1995,"I",1,29.635961
1999,"I",1,26.812926
2003,"I",1,29.035436
2007,"I",1,27.611828
2011,"I",1,24.311836
1971,"R",1,7.116842
1975,"R",1,8.976661
1979,"R",1,9.283304
1983,"R",1,12.320164
1987,"R",1,10.455498
1991,"R",1,12.547487
1995,"R",1,12.13264
1999,"R",1,10.948192
2003,"R",1,12.073074
2007,"R",1,12.127163
2011,"R",1,7.363606
1971,"D",2,19.77817
1975,"D",2,20.620617
1979,"D",2,20.658039
1983,"D",2,19.781442
1987,"D",2,18.164972
1991,"D",2,17.068967
1995,"D",2,15.157368
1999,"D",2,14.230775
2003,"D",2,13.359367
2007,"D",2,13.843949
2011,"D",2,11.378489
1971,"F",2,17.914051
1975,"F",2,18.230108
1979,"F",2,19.138132
1983,"F",2,17.475887
1987,"F",2,19.171622
