"agglotyp_id","jahr","dim","wert","anz_gultig","anz_stber"
11,1981,21,3.69,216346,681703
11,1981,22,-8.24,216346,681703
12,1981,21,3.17,116405,352897
12,1981,22,-2.85,116405,352897
13,1981,21,1.11,57678,178403
13,1981,22,-0.13,57678,178403
21,1981,21,6.69,121745,330556
21,1981,22,2.25,121745,330556
22,1981,21,0.89,204780,611439
22,1981,22,0.32,204780,611439
23,1981,21,1.28,81052,278174
23,1981,22,-3.73,81052,278174
31,1981,21,-3.76,284153,885141
31,1981,22,3,284153,885141
41,1981,21,-6,190669,645486
41,1981,22,5.72,190669,645486
11,1982,21,3.68,240654,676676
11,1982,22,-8.28,240654,676676
12,1982,21,3.17,124983,353893
12,1982,22,-2.87,124983,353893
13,1982,21,1.11,59635,180499
13,1982,22,-0.09,59635,180499
21,1982,21,6.7,124833,338119
21,1982,22,2.15,124833,338119
22,1982,21,0.9,211632,624473
22,1982,22,0.27,211632,624473
23,1982,21,1.25,87048,282600
23,1982,22,-3.69,87048,282600
31,1982,21,-3.73,294191,898970
31,1982,22,3.03,294191,898970
41,1982,21,-5.99,196187,654872
41,1982,22,5.71,196187,654872
11,1983,21,3.67,234772,673789
11,1983,22,-8.31,234772,673789
12,1983,21,3.15,117553,355008
12,1983,22,-2.9,117553,355008
13,1983,21,1.09,60900,182519
13,1983,22,-0.08,60900,182519
21,1983,21,6.72,126337,345236
21,1983,22,2.05,126337,345236
22,1983,21,0.92,222941,635555
22,1983,22,0.23,222941,635555
23,1983,21,1.22,88577,285755
23,1983,22,-3.66,88577,285755
31,1983,21,-3.69,303649,911863
31,1983,22,3.05,303649,911863
41,1983,21,-5.98,204545,663308
41,1983,22,5.71,204545,663308
11,1984,21,3.7,281772,672551
11,1984,22,-8.35,281772,672551
12,1984,21,3.12,152960,356647
12,1984,22,-2.94,152960,356647
13,1984,21,1.05,78639,184588
13,1984,22,-0.08,78639,184588
21,1984,21,6.74,171899,353013
21,1984,22,1.96,171899,353013
22,1984,21,0.94,290829,648445
22,1984,22,0.19,290829,648445
23,1984,21,1.19,114914,289809
23,1984,22,-3.63,114914,289809
31,1984,21,-3.65,402372,926917
31,1984,22,3.06,402372,926917
41,1984,21,-5.97,278895,672916
41,1984,22,5.71,278895,672916
11,1985,21,3.75,230298,670395
11,1985,22,-8.39,230298,670395
12,1985,21,3.06,120956,357840
12,1985,22,-2.99,120956,357840
13,1985,21,0.98,64118,185882
13,1985,22,-0.09,64118,185882
21,1985,21,6.75,146459,359136
21,1985,22,1.88,146459,359136
22,1985,21,0.97,245295,660493
22,1985,22,0.15,245295,660493
23,1985,21,1.16,94420,293538
23,1985,22,-3.6,94420,293538
31,1985,21,-3.61,333615,939486
31,1985,22,3.07,333615,939486
41,1985,21,-5.97,230430,679802
41,1985,22,5.71,230430,679802
11,1986,21,3.84,221510,666673
11,1986,22,-8.41,221510,666673
12,1986,21,2.97,127098,358503
12,1986,22,-3.04,127098,358503
13,1986,21,0.87,65090,187272
13,1986,22,-0.12,65090,187272
21,1986,21,6.75,145112,367902
21,1986,22,1.81,145112,367902
22,1986,21,1.02,256247,675529
22,1986,22,0.11,256247,675529
23,1986,21,1.12,96229,297862
23,1986,22,-3.55,96229,297862
31,1986,21,-3.56,349701,958149
31,1986,22,3.06,349701,958149
41,1986,21,-5.96,255554,690024
41,1986,22,5.7,255554,690024
11,1987,21,3.98,284592,663793
11,1987,22,-8.42,284592,663793
12,1987,21,2.86,154702,358873
12,1987,22,-3.09,154702,358873
13,1987,21,0.73,81843,188218
13,1987,22,-0.15,81843,188218
21,1987,21,6.74,179585,373503
21,1987,22,1.77,179585,373503
22,1987,21,1.07,310710,684780
22,1987,22,0.09,310710,684780
23,1987,21,1.07,122406,299389
23,1987,22,-3.48,122406,299389
31,1987,21,-3.53,421413,970196
31,1987,22,3.05,421413,970196
41,1987,21,-5.97,289961,696179
41,1987,22,5.65,289961,696179
11,1988,21,4.17,301879,656468
11,1988,22,-8.39,301879,656468
12,1988,21,2.74,167390,359145
12,1988,22,-3.13,167390,359145
13,1988,21,0.57,90655,188947
13,1988,22,-0.21,90655,188947
21,1988,21,6.73,201642,381463
21,1988,22,1.75,201642,381463
22,1988,21,1.12,343311,697214
22,1988,22,0.08,343311,697214
23,1988,21,1.02,135087,301984
23,1988,22,-3.39,135087,301984
31,1988,21,-3.52,476040,987700
31,1988,22,3,476040,987700
41,1988,21,-5.98,332655,705112
41,1988,22,5.55,332655,705112
11,1989,21,4.39,344203,651539
11,1989,22,-8.32,344203,651539
12,1989,21,2.62,197948,359605
12,1989,22,-3.17,197948,359605
13,1989,21,0.41,104552,189938
13,1989,22,-0.28,104552,189938
21,1989,21,6.71,234393,387156
21,1989,22,1.78,234393,387156
22,1989,21,1.18,421325,706230
22,1989,22,0.09,421325,706230
23,1989,21,0.96,163369,303917
23,1989,22,-3.27,163369,303917
31,1989,21,-3.52,585225,1002300
31,1989,22,2.93,585225,1002300
41,1989,21,-6,427193,713794
41,1989,22,5.39,427193,713794
11,1990,21,4.62,253006,647408
11,1990,22,-8.19,253006,647408
12,1990,21,2.51,145463,359998
12,1990,22,-3.2,145463,359998
13,1990,21,0.25,72446,190411
13,1990,22,-0.38,72446,190411
21,1990,21,6.68,174280,390018
21,1990,22,1.86,174280,390018
22,1990,21,1.23,292298,711283
22,1990,22,0.14,292298,711283
23,1990,21,0.9,109514,304437
23,1990,22,-3.11,109514,304437
31,1990,21,-3.54,395757,1010820
31,1990,22,2.81,395757,1010820
41,1990,21,-6.02,272791,719699
41,1990,22,5.16,272791,719699
11,1991,21,4.84,203492,648442
11,1991,22,-8.02,203492,648442
12,1991,21,2.41,119040,364503
12,1991,22,-3.25,119040,364503
13,1991,21,0.11,62547,193772
13,1991,22,-0.52,62547,193772
21,1991,21,6.64,142259,400178
21,1991,22,2.01,142259,400178
22,1991,21,1.27,238024,728946
22,1991,22,0.23,238024,728946
23,1991,21,0.84,92172,309570
23,1991,22,-2.92,92172,309570
31,1991,21,-3.57,317629,1038430
31,1991,22,2.65,317629,1038430
41,1991,21,-6.03,227060,740647
41,1991,22,4.87,227060,740647
11,1992,21,5.05,277911,648718
11,1992,22,-7.8,277911,648718
12,1992,21,2.32,153469,362603
12,1992,22,-3.33,153469,362603
13,1992,21,-0.01,80812,197235
13,1992,22,-0.7,80812,197235
21,1992,21,6.6,198166,411597
21,1992,22,2.22,198166,411597
22,1992,21,1.29,337398,748795
22,1992,22,0.34,337398,748795
23,1992,21,0.76,127930,314696
23,1992,22,-2.73,127930,314696
31,1992,21,-3.61,456375,1075599
31,1992,22,2.46,456375,1075599
41,1992,21,-6.03,322361,764261
41,1992,22,4.53,322361,764261
11,1993,21,5.25,287372,646279
11,1993,22,-7.57,287372,646279
12,1993,21,2.23,161551,368593
12,1993,22,-3.42,161551,368593
13,1993,21,-0.11,85100,198276
13,1993,22,-0.9,85100,198276
21,1993,21,6.54,205464,417165
21,1993,22,2.48,205464,417165
22,1993,21,1.31,355004,755637
22,1993,22,0.49,355004,755637
23,1993,21,0.68,136502,314207
23,1993,22,-2.54,136502,314207
31,1993,21,-3.65,474929,1079697
31,1993,22,2.25,474929,1079697
41,1993,21,-6.03,335189,773954
41,1993,22,4.18,335189,773954
11,1994,21,5.44,278985,641631
11,1994,22,-7.37,278985,641631
12,1994,21,2.15,157526,367670
12,1994,22,-3.54,157526,367670
13,1994,21,-0.18,82539,198084
13,1994,22,-1.11,82539,198084
21,1994,21,6.47,193736,420632
21,1994,22,2.75,193736,420632
22,1994,21,1.32,333032,759652
22,1994,22,0.63,333032,759652
23,1994,21,0.59,126774,313854
23,1994,22,-2.36,126774,313854
31,1994,21,-3.67,459812,1085409
31,1994,22,2.06,459812,1085409
41,1994,21,-6.01,314892,776727
41,1994,22,3.87,314892,776727
11,1995,21,5.62,256765,638144
11,1995,22,-7.23,256765,638144
