"kt_id","jahr","dim","wert","anz_gultig","anz_stber"
"AG",1981,21,-6.15,80181,276837
"AG",1981,22,5.46,80181,276837
"AI",1981,21,-9.55,2506,8400
"AI",1981,22,13.83,2506,8400
"AR",1981,21,-4.63,11252,30641
"AR",1981,22,8.42,11252,30641
"BE",1981,21,-1.49,172524,602308
"BE",1981,22,1.54,172524,602308
"BL",1981,21,3.91,43850,146830
"BL",1981,22,-5.74,43850,146830
"BS",1981,21,4.84,40074,138921
"BS",1981,22,-11.72,40074,138921
"FR",1981,21,1.13,29091,117853
"FR",1981,22,0.44,29091,117853
"GE",1981,21,8.62,59234,184212
"GE",1981,22,-9.37,59234,184212
"GL",1981,21,-6.5,7740,22807
"GL",1981,22,5.32,7740,22807
"GR",1981,21,1.77,29500,103133
"GR",1981,22,1.93,29500,103133
"JU",1981,21,4.56,10356,41377
"JU",1981,22,-13.46,10356,41377
"LU",1981,21,-2.65,68833,187247
"LU",1981,22,2.92,68833,187247
"NE",1981,21,7.64,27801,97683
"NE",1981,22,-4.83,27801,97683
"NW",1981,21,-4.18,6762,19321
"NW",1981,22,7.23,6762,19321
"OW",1981,21,-6.34,5222,16482
"OW",1981,22,7.65,5222,16482
"SG",1981,21,-1.38,71398,236798
"SG",1981,22,5.06,71398,236798
"SH",1981,21,-2.05,27676,43577
"SH",1981,22,1.36,27676,43577
"SO",1981,21,-3.58,75046,140685
"SO",1981,22,0.01,75046,140685
"SZ",1981,21,-10.61,19879,60348
"SZ",1981,22,7.65,19879,60348
"TG",1981,21,-3.11,39847,108588
"TG",1981,22,7.94,39847,108588
"TI",1981,21,4,41778,154116
"TI",1981,22,-11.85,41778,154116
"UR",1981,21,-6.9,8288,21826
"UR",1981,22,0.15,8288,21826
"VD",1981,21,5.62,73863,314701
"VD",1981,22,-1.15,73863,314701
"VS",1981,21,-5.7,31527,139142
"VS",1981,22,7.53,31527,139142
"ZG",1981,21,0.67,20164,45559
"ZG",1981,22,4.11,20164,45559
"ZH",1981,21,2.01,268434,704408
"ZH",1981,22,-1.23,268434,704408
"AG",1982,21,-6.06,82695,281587
"AG",1982,22,5.61,82695,281587
"AI",1982,21,-9.25,2294,8551
"AI",1982,22,13.71,2294,8551
"AR",1982,21,-4.37,11298,31016
"AR",1982,22,8.25,11298,31016
"BE",1982,21,-1.55,213959,609379
"BE",1982,22,1.65,213959,609379
"BL",1982,21,3.91,46317,149403
"BL",1982,22,-5.59,46317,149403
"BS",1982,21,4.8,44732,138077
"BS",1982,22,-11.64,44732,138077
"FR",1982,21,1.04,27783,119873
"FR",1982,22,0.34,27783,119873
"GE",1982,21,8.53,46757,185394
"GE",1982,22,-9.62,46757,185394
"GL",1982,21,-6.13,9993,22899
"GL",1982,22,5.45,9993,22899
"GR",1982,21,1.78,30224,104662
"GR",1982,22,1.89,30224,104662
"JU",1982,21,4.03,9028,41775
"JU",1982,22,-13.43,9028,41775
"LU",1982,21,-2.53,62091,190443
"LU",1982,22,2.94,62091,190443
"NE",1982,21,7.57,30032,97551
"NE",1982,22,-4.96,30032,97551
"NW",1982,21,-3.92,6296,19821
"NW",1982,22,7.26,6296,19821
"OW",1982,21,-6.19,5765,16966
"OW",1982,22,7.68,5765,16966
"SG",1982,21,-1.3,74418,240424
"SG",1982,22,4.93,74418,240424
"SH",1982,21,-2.18,28268,44029
"SH",1982,22,1.3,28268,44029
"SO",1982,21,-3.63,54449,142367
"SO",1982,22,0.21,54449,142367
"SZ",1982,21,-10.36,19173,61485
"SZ",1982,22,7.64,19173,61485
"TG",1982,21,-3.18,43294,110586
"TG",1982,22,7.85,43294,110586
"TI",1982,21,3.93,48568,156550
"TI",1982,22,-11.95,48568,156550
"UR",1982,21,-6.82,8270,22134
"UR",1982,22,0.26,8270,22134
"VD",1982,21,5.68,98766,316723
"VD",1982,22,-1.15,98766,316723
"VS",1982,21,-5.47,28836,141648
"VS",1982,22,7.47,28836,141648
"ZG",1982,21,0.84,18115,46609
"ZG",1982,22,4.15,18115,46609
"ZH",1982,21,2,287741,710154
"ZH",1982,22,-1.31,287741,710154
"AG",1983,21,-5.93,88550,285770
"AG",1983,22,5.74,88550,285770
"AI",1983,21,-8.94,2855,8652
"AI",1983,22,13.61,2855,8652
"AR",1983,21,-4.15,11329,31344
"AR",1983,22,8.05,11329,31344
"BE",1983,21,-1.6,209134,615171
"BE",1983,22,1.75,209134,615171
"BL",1983,21,3.89,46368,151638
"BL",1983,22,-5.43,46368,151638
"BS",1983,21,4.75,44524,137493
"BS",1983,22,-11.55,44524,137493
"FR",1983,21,0.98,32417,121849
"FR",1983,22,0.23,32417,121849
"GE",1983,21,8.44,50430,186438
"GE",1983,22,-9.9,50430,186438
"GL",1983,21,-5.8,7532,22961
"GL",1983,22,5.54,7532,22961
"GR",1983,21,1.72,32370,106667
"GR",1983,22,1.86,32370,106667
"JU",1983,21,3.52,10015,42233
"JU",1983,22,-13.45,10015,42233
"LU",1983,21,-2.44,67813,192919
"LU",1983,22,2.98,67813,192919
"NE",1983,21,7.45,27771,97481
"NE",1983,22,-5.09,27771,97481
"NW",1983,21,-3.66,6990,20229
"NW",1983,22,7.3,6990,20229
"OW",1983,21,-6.06,5460,17244
"OW",1983,22,7.74,5460,17244
"SG",1983,21,-1.27,74362,243439
"SG",1983,22,4.79,74362,243439
"SH",1983,21,-2.32,28699,44412
"SH",1983,22,1.22,28699,44412
"SO",1983,21,-3.67,57917,143645
"SO",1983,22,0.4,57917,143645
